fecha	diario	organismo	seccion	referencia	titulo
27/10/1970	BOE 257 de 27/10/1970	Ministerio de Agricultura	III. Otras disposiciones	BOE-A-1970-50433	Decreto 3119/1970, de 8 de octubre, por el que se declara de utilidad pública y de urgente ejecución la concentración parcelaria de la zona de Colinas de Trasmonte (Zamora).
10/06/1971	BOE 138 de 10/06/1971	Ministerio de Obras Públicas	III. Otras disposiciones	BOE-A-1971-40309	Resolución por la que se fija fecha para proceder al levantamiento de actas previas a la ocupación de las fincas afectadas por las obras de ensanche, mejora y acondicionamiento de firme de la carretera C-620, entre los puntos kilométricos 1,500 al 20,000, de Benavente a Sitrama de Tera, término municipal de Colinas de Trasmonte (Zamora).
22/02/1972	BOE 45 de 22/02/1972	Ministerio de la Gobernación	III. Otras disposiciones	BOE-A-1972-33978	Decreto 354/1972, de 10 de febrero, por el que se aprueba la incorporación del Municipio de Colinas de Trasmonte al de Quiruelas de Vídriales (Zamora).
08/08/1972	BOE 189 de 08/08/1972	Ministerio de Justicia	III. Otras disposiciones	BOE-A-1972-1185	Orden por la que se acuerda la supresión del Juzgado de Paz de Colinas de Trasmonte (Zamora).
11/10/1975	BOE 244 de 11/10/1975	Ministerio de Agricultura	III. Otras disposiciones	BOE-A-1975-21121	Resolución de la Dirección General de la Producción Agraria por la que se aprueba el programa de producción ordenada en ganado bovino en la provincia de Zamora.
07/02/1976	BOE 33 de 07/02/1976	Ministerio de la Gobernación	II. Autoridades y personal	BOE-A-1976-2947	Resolución de la Dirección General de Sanidad por la que se convoca concurso ordinario para provisión de puestos de trabajo de carácter general en las plantillas del Cuerpo de Practicantes Titulares y de Casas de Socorro.
08/04/1976	BOE 85 de 08/04/1976	Ministerio de Agricultura	III. Otras disposiciones	BOE-A-1976-7522	Orden de 26 de febrero de 1976 por la que se aprueba el plan de mejoras territoriales y obras de la zona de concentración parcelaria de Colinas de Trasmonte (Zamora).
30/06/1976	BOE 156 de 30/06/1976	Ministerio de la Gobernación	I. Disposiciones generales	BOE-A-1976-12559	Orden de 24 de mayo de 1976 por la que se modifican las demarcaciones de ciertos partidos farmacéuticos y se adscriben 37 puestos de trabajo de Farmacéuticos titulares a los Servicios Centrales y Periféricos de la Dirección General de Sanidad.
13/07/1976	BOE 167 de 13/07/1976		V. Anuncios	BOE-B-1976-30333	Subastas y concursos de obras y servicios públicos
01/08/1977	BOE 182 de 01/08/1977	Ministerio de la Gobernación	II. Autoridades y personal	BOE-A-1977-17807	Resolución de la Dirección General de Sanidad por la que se convoca concurso ordinario para provisión de puestos de trabajo, con carácter general, en las plantillas del Cuerpo de Practicantes Titulares y de Casas de Socorro y Hospitales Municipales.
12/08/1977	BOE 192 de 12/08/1977		V. Anuncios	BOE-B-1977-30383	Subastas y concursos de obras y servicios públicos
03/12/1977	BOE 289 de 03/12/1977	Ministerio de Industria y Energía	III. Otras disposiciones	BOE-A-1977-29106	Resolución de la Delegación Provincial de Zamora por la que se autoriza el establecimiento de la instalación que se cita (expediente A-54/77).
31/03/1978	BOE 77 de 31/03/1978	Presidencia del Gobierno	II. Autoridades y personal	BOE-A-1978-8263	Resolución de la Secretaría de Estado para la Administración Pública por la que se da publicidad a la relación mensual 02/78 de admitidos y excluidos a pruebas selectivas para ingreso en el Cuerpo Auxiliar de la Administración Civil del Estado.
03/01/1979	BOE 3 de 03/01/1979	Presidencia del Gobierno	II. Autoridades y personal	BOE-A-1979-49989	Resolución del Instituto Nacional de Administración Pública por la que se da publicidad a las listas provisionales de admitidos y excluidos a las IX pruebas selectivas para ingreso en el Cuerpo Administrativo de la Administración Civil del Estado, turnos libre y restringido. (Continuación.)
20/02/1979	BOE 44 de 20/02/1979	Ministerio de Sanidad y Seguridad Social	II. Autoridades y personal	BOE-A-1979-5164	Orden de 21 de diciembre de 1978 por la que se convoca concurso ordinario para provisión de puestos de trabajo vacantes en las plantillas de los Cuerpos de Médicos Titulares y de Médicos de Casas de Socorro y Hospitales Municipales, este último declarado a extinguir.
08/12/1979	BOE 294 de 08/12/1979	Ministerio de Sanidad y Seguridad Social	III. Otras disposiciones	BOE-A-1979-28998	Orden de 14 de noviembre de 1979 por la que se aprueba el mapa sanitario de la provincia de Zamora.
17/01/1980	BOE 15 de 17/01/1980	Ministerio de Sanidad y Seguridad Social	II. Autoridades y personal	BOE-A-1980-1135	Orden de 17 de diciembre de 1979 por la que se convoca concurso ordinario en las plantillas del Cuerpo de Practicantes Titulares y de Casas de Socorro y Hospitales Municipales.
09/02/1980	BOE 35 de 09/02/1980	Ministerio de Sanidad y Seguridad Social	II. Autoridades y personal	BOE-A-1980-3095	Orden de 14 de enero de 1980 por la que se convoca concurso ordinario para provisión de puestos de trabajo vacantes en las plantillas de los Cuerpos de Médicos Titulares y de Médicos de Casas de Socorro y Hospitales Municipales, este último declarado a extinguir.
29/04/1980	BOE 103 de 29/04/1980		V. Anuncios	BOE-B-1980-30206	Otros anuncios
26/05/1980	BOE 126 de 26/05/1980		V. Anuncios	BOE-B-1980-30252	Otros anuncios
05/07/1980	BOE 161 de 05/07/1980		V. Anuncios	BOE-B-1980-30322	Otros anuncios
28/07/1980	BOE 180 de 28/07/1980	Ministerio de Sanidad y Seguridad Social	II. Autoridades y personal	BOE-A-1980-16159	Orden de 14 de julio de 1980 por la que se eleva a definitiva la relación provisional de admitidos y excluidos y se hace pública la adjudicación provisional de plazas en el concurso de traslado del Cuerpo de Médicos Titulares y de Médicos de Casas de Socorro y Hospitales Municipales, este último declarado a extinguir.
30/11/1984	BOE 287 de 30/11/1984		VI. Anuncios	BOE-B-1984-30539	Subastas y concursos de obras y servicios
24/12/1984	BOE 307 de 24/12/1984	Presidencia del Gobierno	I. Disposiciones generales	BOE-A-1984-28024	Real Decreto 2248/1984, de 28 de noviembre, sobre extensión del servicio telefónico en el medio rural.
23/04/1985	BOE 97 de 23/04/1985		VI. Anuncios	BOE-B-1985-30097	Subastas y concursos de obras y servicios
24/09/1985	BOE 229 de 24/09/1985		VI. Anuncios	BOE-B-1985-30229	Subastas y concursos de obras y servicios
21/05/1986	BOE 121 de 21/05/1986		VI. Anuncios	BOE-B-1986-30121	Subastas y concursos de obras y servicios
09/02/1987	BOE 34 de 09/02/1987		V. Anuncios	BOE-B-1987-30347	Otros anuncios oficiales
14/02/1987	BOE 39 de 14/02/1987		V. Anuncios	BOE-B-1987-30352	Otros anuncios oficiales
05/10/1999	BOE 238 de 05/10/1999	Ministerio de la Presidencia	I. Disposiciones generales	BOE-A-1999-19811	Real Decreto 1524/1999, de 4 de octubre, por el que se convocan elecciones locales parciales.
19/01/2000	BOE 16 de 19/01/2000	Ministerio de Agricultura, Pesca y Alimentación	III. Otras disposiciones	BOE-A-2000-1158	Orden de 23 de diciembre de 1999 por la que se actualizan los anexos de la Orden de 7 de enero de 1998, en relación con la utilización de los nombres geográficos y de la mención "vino de la tierra" en la designación de los vinos de mesa.
26/04/2005	BOE 99 de 26/04/2005	Ministerio de Trabajo y Asuntos Sociales	III. Otras disposiciones	BOE-A-2005-6772	Resolución de 4 de abril de 2005, del Instituto de la Mujer, por la que se concede la novena edición de las ayudas al empleo «Emprender en femenino» para fomentar la inserción por cuenta propia de las mujeres en regiones de Objetivo 1.
05/07/2005	BOE 159 de 05/07/2005	Ministerio de Medio Ambiente	V. Anuncios	BOE-B-2005-159070	Resolución de fecha 8 de junio de 2005, de la Presidenta de la Confederación Hidrográfica del Duero, por la que se autoriza la incoación de expediente de Información Pública relativa al «Proyecto de abastecimiento a Benavente y a otros municipios del valle del Tera (Zamora)».
20/02/2009	BOE 44 de 20/02/2009	Ministerio de Industria, Turismo y Comercio	III. Otras disposiciones	BOE-A-2009-2936	Resolución de 20 de enero de 2009, de la Secretaría de Estado de Telecomunicaciones y para la Sociedad de la Información, por la que se publica el Convenio marco de colaboración, entre el Ministerio de Industria, Turismo y Comercio y la Comunidad de Castilla y León, para la ejecución del Plan Nacional de Transición a la TDT.
30/04/2009	BOE 105 de 30/04/2009	Ministerio del Interior	III. Otras disposiciones	BOE-A-2009-7260	Resolución de 31 de marzo de 2009, de la Secretaría de Estado de Seguridad, por la que se hacen publicas las listas de los participantes declarados aptos en las pruebas de selección para vigilantes de seguridad y especialidades, convocadas por Resolución de 29 de diciembre de 2008.
24/12/2009	BOE 309 de 24/12/2009	Ministerio de Industria, Turismo y Comercio	III. Otras disposiciones	BOE-A-2009-20796	Resolución de 2 de diciembre de 2009, de la Secretaría de Estado de Telecomunicaciones y para la Sociedad de la Información, por la que se publica la Adenda al Convenio marco de colaboración, entre el Ministerio de Industria, Turismo y Comercio y la Comunidad Autónoma del Principado de Asturias, para el desarrollo del Plan Nacional de Transición a la TDT.
