fecha	diario	gaceta_num	pagina	departamento	referencia	titulo	pdf
08/06/1856	Gaceta de Madrid	1252	3 a 4		BOE-A-1856-6239	Intendencia General Militar. Intendencia General de la Real Casa y Patrimonio. Alcaldía Constitucional de Segovia. Venta de Bienes Nacionales.	https://www.boe.es/datos/pdfs/BOE//1856/1252/A00003-00004.pdf
28/12/1856	Gaceta de Madrid	1455	4		BOE-A-1856-14574	Administración del Correo Central. Ayuntamiento Constitucional de Loriguilla. Alcaldía Constitucional de la Villa de Luchente. Alcaldía Constitucional de Foyos. Alcaldía Constitucional de Titulcia.	https://www.boe.es/datos/pdfs/BOE//1856/1455/A00004-00004.pdf
22/07/1857	Gaceta de Madrid	1660	1	Ministerio de Gracia y Justicia	BOE-A-1857-7483	Nombrando para los curatos vacantes que se expresan á los sujetos citados.	https://www.boe.es/datos/pdfs/BOE//1857/1660/A00001-00001.pdf
18/06/1860	Gaceta de Madrid	170	2	Ministerio de Hacienda	BOE-A-1860-5704	Dirección general de Contabilidad de la Hacienda Pública.- Bienes vendidos y Censos redimidos hasta fin de 1857.- Relación de las liquidaciones examinadas y aprobadas por esta Dirección general del capital que ha resultado á favor de las corporaciones ó establecimientos por las ventas de sus bienes ejecutadas hasta el 2 de Octubre de 1858.	https://www.boe.es/datos/pdfs/BOE//1860/170/A00002-00002.pdf
08/03/1865	Gaceta de Madrid	67	2	Consejo de Estado	BOE-A-1865-1904	Real decreto declarando rescindido en contrato para la conducción del correo diario de Benavente á Orense, celebrado entre D. Ignacio Sáenz y otros y la Administración del Estado.	https://www.boe.es/datos/pdfs/BOE//1865/067/A00002-00002.pdf
06/07/1868	Gaceta de Madrid	188	6 a 7	Ministerio de Hacienda	BOE-A-1868-5766	Dirección general de Contabilidad de la Hacienda pública.- Núm. 394.- Bienes de Propios y provinciales.- Ventas posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales enajenados desde el 2 de Octubre de 1858 en adelante.	https://www.boe.es/datos/pdfs/BOE//1868/188/A00006-00007.pdf
24/09/1868	Gaceta de Madrid	268	8	Ministerio de Hacienda	BOE-A-1868-8172	Dirección general de Contabilidad de la Hacienda pública.- Bienes de propios y provinciales.- Ventas posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales enajenados desde el 2 de Octubre de 1858 en adelante.	https://www.boe.es/datos/pdfs/BOE//1868/268/A00008-00008.pdf
30/09/1870	Gaceta de Madrid	273	9 a 25	Ministerio de la Gobernación	BOE-A-1870-7800	Decreto aprobando el proyecto adjunto de división territorial con arreglo al cual han de verificarse las elecciones de Diputados provinciales.	https://www.boe.es/datos/pdfs/BOE//1870/273/A00009-00025.pdf
19/01/1872	Gaceta de Madrid	19	199 a 201		BOE-A-1872-497	Providencias judiciales.- Tribunal de Cuentas del Reino. Juzgados de primera instancia.	https://www.boe.es/datos/pdfs/BOE//1872/019/A00199-00201.pdf
30/03/1874	Gaceta de Madrid	89	790 a 796		BOE-A-1874-2673	Providencias judiciales.- Juzgados eclesiásticos. Juzgados de primera instancia. Juzgados municipales.	https://www.boe.es/datos/pdfs/BOE//1874/089/A00790-00796.pdf
