fecha	coleccion	referencia	estado	motivo	paginas	titulo	contexto
08/06/1856	gazeta	BOE-A-1856-6239	VERIFICADO	frase completa en el texto	2	Intendencia General Militar. Intendencia General de la Real Casa y Patrimonio. Alcaldía Constitucional de Segovia. Venta de Bienes Nacionales.	2 pies: arren­ datario Alafias Coreces, y paga de renta anual 2,500 rs.: se halla tasada en 10,000 rs., y capitalizada en 56,250 rs. que es el tipo por que se saca a subasta. Num. 84 del inventario. = U n molino harinero, sito en Colinas de Trasmonte, procedente de los propios del mismo, el cual no tiene agua en la actualidad por haber­ se marchado aquellas al rio principal: linda todo el con campos del concejo y cano que nacia del rio Tera : arren­ datarios Pedro Coimeros y
28/12/1856	gazeta	BOE-A-1856-14574	VERIFICADO	frase completa en el texto	1	Administración del Correo Central. Ayuntamiento Constitucional de Loriguilla. Alcaldía Constitucional de la Villa de Luchente. Alcaldía Constitucional de Foyos. Alcaldía Constitucional de Titulcia.	ina de M ontes, P ineiro, San Mamed de Viana. De prim er ascenso. Celada y C uevas, P radorrey y Bonillos, Santa Colomba de la Vega, Requejo de la Vega, Soto de la Vega, V illaferruena, Lagunas de Somoza, Mo­ lina de F e rre ra , Colinas de Trasm onte, P riaranza del V ierzo, Salas y Lombillo, C olum brianos, Cortiguera, Castro de Valdeorras, Corgomo, Solveira. De entrada. V aldesam ario, M ansilla del Param o, Ge- n estacio , Zotes, G a n so , Prada de la Sierra, Curillas, Ri
22/07/1857	gazeta	BOE-A-1857-7483	VERIFICADO	frase completa en el texto	1	Nombrando para los curatos vacantes que se expresan á los sujetos citados.	ar Cis- leros.Para el de Soto de la Vega a D. Isidro Fernan- lez Soti lio. I Para el de Villaferruena a D. Mateo Garcia. I Para el de Lagunas de Somoza a D. Jose Sotillo. Para el de Molina Ferrara a D. Pedro Alcantara. Para el de Colinas de Trasmonte a D. Pedro Ramos. Para el de Priaranza del Vierzo a D, Francisco Martinez Calvete. I Para el de Saias y Lombillo a D. Valentin Ro- i driguez, Para el de Columbrianos a D. Felipe Alvarez Muniz. I Para el de Cortiguera a D. Fermin
18/06/1860	gazeta	BOE-A-1860-5704	VERIFICADO	frase completa en el texto	1	Dirección general de Contabilidad de la Hacienda Pública.- Bienes vendidos y Censos redimidos hasta fin de 1857.- Relación de las liquidaciones examinadas y aprobadas por esta Dirección general del capital que ha resultado á favor de las corporaciones ó establecimientos por las ventas de sus bienes ejecutadas hasta el 2 de Octubre de 1858.	...... Idem ......... Idem — Idem........ Idem ........ Idem ........ Idem....... ..................... Idem de Santa Colomba de las Monjas. . ..................... Idem de Villaralbo................ •.................... Idem de Colinas de Trasmonte. ...................... Idem de Morales de Toro................. ............... . Idem de Verdemarbar....................* * (* ................. .... Idem del Maderal....................... . . . ! ! ( ...................... Id
08/03/1865	gazeta	BOE-A-1865-1904	VERIFICADO	frase completa en el texto	1	Real decreto declarando rescindido en contrato para la conducción del correo diario de Benavente á Orense, celebrado entre D. Ignacio Sáenz y otros y la Administración del Estado.	de los con­ tratistas manifestando el mal estado del camino que ienian que recorrer, y de varias certiiicaciones pre­ sentadas por los mismos, y extendidas por los Alcal­ des deSanta Cristina de la Polvorosa, Camarzana de Feras, Colinas de Trasmonte y otras justificantes del mal estado en que se hallaban los caminos, la Administracion principal de Correos de Zamora re­ mitio a la Direccion general del ramo en 15 de Fe­ brero de 1861 un itinerario, manifestando al propio tiem
06/07/1868	gazeta	BOE-A-1868-5766	VERIFICADO	frase completa en el texto	2	Dirección general de Contabilidad de la Hacienda pública.- Núm. 394.- Bienes de Propios y provinciales.- Ventas posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales enajenados desde el 2 de Octubre de 1858 en adelante.	... 1 .4 18 ,6 6 55037 Idem de Algedre................................. ............................. 2 928 55038 Idem de Benegiles. . ................. 4.490,68 55039 Idem de Brimc de Urz . . . ............. 857,07 55040 Idem de Colinas de Trasm onte................................. 1.0 66,67 55041 Idem de C a n iz o 42*67 ; 55042 Idem de Cubillos . ........................ 487,47 55043 Idem de Fuentencalada. ........................ ................... 5 .3 5 4 ,1 4 55044 Id
24/09/1868	gazeta	BOE-A-1868-8172	VERIFICADO	frase completa en el texto	1	Dirección general de Contabilidad de la Hacienda pública.- Bienes de propios y provinciales.- Ventas posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales enajenados desde el 2 de Octubre de 1858 en adelante.	............................... Diciembre id ... , „ 913,600 57240 Idem de id . . . . . . . ............. Abril 1867........... 1 1 5,200 57241 idem de i d ................................ Diciembre id .. . 916,600 67242 Idem de Colinas de Tras­ monte .. Enero 1866 . . . . 106,667 57243 Idem de i d ................................ Febrero 1867 .. 106,667 57244 Idem de Coomonte . Enero 1866 . . . . 10,720 57245 Idem de id.................... . . . . . Mayo id..... ............
30/09/1870	gazeta	BOE-A-1870-7800	VERIFICADO	frase completa en el texto	17	Decreto aprobando el proyecto adjunto de división territorial con arreglo al cual han de verificarse las elecciones de Diputados provinciales.	NA VEN TE.— 5 Diputados. 4.er distrito.— Micereces de Tera.—Micercces de Tera, Santovenia, Breto, Bretocino, Olmillos, Milles, Villaveza del Agua, Barcial del Barco, Arcos de la Polvorosa, Santa Colomba de las Monjas, Villanazar, Colinas de Trasmonte, Sitrama de Tera, Santa Croya de Tera, Melgar de Tera, Santa Co­ lomba de las Oarabias y Pueblica de Valverde. 2.® distrito.—Benavente.—Villanueva de A zoaque, Castrogonzalo, Fuentes de Ropel. Benavente, Santa Cristina de la Pol­
19/01/1872	gazeta	BOE-A-1872-497	VERIFICADO	frase completa en el texto	3	Providencias judiciales.- Tribunal de Cuentas del Reino. Juzgados de primera instancia.	an se presente en este Juzgado con objeto de ampliarle la declaracion que presto en las diligencias que se instruyen a consecuencia de haber faltado al Jose una bolsa con 69 duros estando en la casa de Magdalena Alonso, vecina de Colinas de Trasmonte, de este partido, en el dia 27 de Octubre ultimo; apercibido de que de no comparecer seguiran las diligenoias y le parara el perjuicio que haya lugar. Benavente 13 de Enero de 1872. = Miguel Lama.= Por mandado de S. S., Dionisio
30/03/1874	gazeta	BOE-A-1874-2673	DUDOSO	aparece Colinas, pero no consta que sea el nuestro	7	Providencias judiciales.- Juzgados eclesiásticos. Juzgados de primera instancia. Juzgados municipales.	go de Terredo, en el termino municipal de Tineo, para que dentro de 15 dias se presente en este Juzgado a prestar declaracion indagatoria en causa formada contra el mismo sobre hurto de un caballo de Manuel P intado, del lugar de Colinas ; apercibido que de no comparecer se le declarara rebelde y le parara el perjuicio que haya lugar. Cangas de Tineo 14 de Marzo de 1874.=Francisco Villa- miL=Fe]ipe Mendez Villaamil. Caspe. D. Victorio Andres y C a t a la n , Juez
