pagina	denominacion_actual	como_se_escribe_en_1591	todos_vecinos	pecheros	hidalgos	clerigos
666	Santiago de la Requejada	La Requejada	48	30	17	1
666	Folgoso de la Carballeda	Folgosso	32	31	0	1
666	Puebla de Valverde	La Puebla que es del obispo de Astorga	19	17	1	1
666	San Pedro de Zamudia	St Pedro de Çamudia	24	8	15	1
666	Santa Colomba de las Monjas	Sta Coloma que es del monesterio de Sta Coloma	36	32	3	1
666	Paladinos del Valle	Paladinos	17	16	0	1
666	Milles de la Polvorosa	Milles	26	25	0	1
666	Arcos de la Polvorosa	Arcos	25	24	0	1
666	Manganeses de la Polvorosa	Manganeses	30	27	2	1
666	Morales del Rey	Morales del Rey	50	47	2	1
666	San Roman del Valle	St Roman	34	31	2	1
666	Cabanas de Tera	Cabanas	24	15	8	1
666	Santibanez de Vidriales	Santivanez	53	41	11	1
666	Santa Cristina de la Polvorosa	Sta Christina	21	18	2	1
666	Vega de Requejo (paraje)	Requexo	20	19	0	1
666	Villabrazaro	Va Braçaro	30	26	2	2
666	Vecilla de la Polvorosa	Polvorosa y Veçilla	8	7	0	1
666	Pobladura del Valle	Pobladura	9	8	0	1
666	La Torre del Valle	La Torre del Valle	76	72	2	2
666	Verdenosa de la Polvorosa	La Verdenos que es del obispo de astorga	52	37	14	1
666	Santa Elena (despoblado de)	Sta Elena	12	11	0	1
666	Abraveses de Tera	Abrabeses	21	20	0	1
666	Becares	Beçares, que es de Don Franco de Acuna	3	0	3	0
666	Ruviales	Arrabales de la encomienda de Ruviales	28	27	0	1
666	Santovenia	Santo Venia	44	41	2	1
666	Huelga-Renueva (paraje)	Huerga	7	6	0	1
667	San Miguel del Valle	St Miguel	16	15	0	1
667	Calzadilla de Tera	Calçadilla	23	22	0	1
667	Sitrama de Tera	Sitrama	35	34	0	1
667	Olleros de Tera	Olleros	39	36	2	1
667	Villageriz	Va Xeris	15	6	8	1
667	Olmillos de Valverde	Olmillos	16	15	0	1
667	San Pedro de Ceque	Sant Pedro de Ceque	80	68	11	1
667	Redelga de la Polvorosa	Redelga que era del monesterio de Busto...	28	26	2	0
667	San Cristobal de Entrevinas	St Xpoval	75	71	3	1
667	San Esteban de Nogales	Santisteban de Nogales	68	65	1	1
667	Ferreras de Arriba	Ferreros	14	12	1	1
667	Pozuelo del Paramo	Poçuelo del Paramo	42	39	2	1
667	Ribera de Grajal	Ribera del Paramo	37	26	10	1
667	Villaferruena	Ferruena	22	14	7	1
667	Fresno de la Polvorosa	Fresno	15	10	4	1
667	Alcubilla de Nogales	Alcobilla de la Abbadia de Nogales	31	27	3	1
667	COLINAS DE TRASMONTE	Colinas	28	27	0	1
667	Xecinas	Xeçinas	21	20	0	1
667	Abadia de Nogales	Viccaria de la Abbadia de nogales	8	6	1	1
667	Santa Colomba de las Carabias	Sta Colomba de las Caravias	28	25	2	1
667	Grajal de la Ribera	Grajales de Don Franco Pimentel	64	37	22	5
667	Altobar de la Encomienda	Altobares de la sacada de Benavente	38	34	3	1
667	Barriones	Barriones	30	24	5	1
667	Bercianos de Vidriales	Brecianos de Valde Vidriales	32	31	0	1
667	Santa Croya de Tera	Sta Croya	25	24	0	1
668	Aguilar de Tera	Aguilar de arriva de Tera	23	22	0	1
668	Villaquejida	Va quixida	85	68	16	1
668	Pumarejo de Tera	Pomarejo	24	23	0	1
668	Pozuelo de Vidriales	Pozuelo de Valdevidrianes	38	35	2	1
668	Brime de Sog	Brime y sobo	42	39	2	1
668	Villanueva de Azoague	Vanueva de açuabi	20	17	2	1
668	Quiruelas de Vidriales	Quiruelas	58	52	5	1
668	Calzada de Tera	Calzada	25	23	1	1
668	Vega de Tera	Vega de arriva de Tera	49	48	0	1
668	Santibanez de Tera	Santibanez de arriva de Tera	35	34	0	1
668	San Pedro de Vina	Sant Po de la vina	26	25	0	1
668	Valleluengo	El valle	19	18	0	1
668	Milla de Tera	Lamilla	36	35	0	1
668	Cional	Çional	62	61	0	1
668	Majada de Perilla (paraje)	Muelas	30	29	0	1
668	Cubo de Benavente	Cubo	62	61	0	1
668	Villafer	Villafer	62	55	5	2
668	Castrogonzalo	Castro goçalo	47	41	5	1
668	Barcial del Barco	Varçial	21	20	0	1
668	Belver	Veluis	53	52	0	1
668	Villaveza del Agua	Va Beça del Varco	30	29	0	1
668	Peque	Peque	59	57	1	1
668	Vecilla del Chantre	Veçilla de Chantre	10	9	0	1
668	Donadillo	Donadillo	75	73	1	1
668	Rosinos de Vidriales	Rossinos	42	41	0	1
668	Quintanilla de Urz	Quintanilla de Vize	54	49	4	1
668	Vega del Castillo	Vega del Castillo	8	7	0	1
668	Villaobispo	Villa obispo del de Astorga	15	14	0	1
668	Brime de Urz	Brime de Vize	34	33	0	1
669	Granucillo	Los Varrios de Granuçillo bassallos del Conde de Benavente	104	99	1	4
669	Sandin	Sandin	62	61	0	1
