denominacion_moderna	inscr_1526	nombre_1526	pecheros_1526	nombre_1591	pecheros_1591	vecinos_1591	variacion_pecheros_pct	nota
Abadia de Nogales	46	Biçaria	15	Viccaria de la Abbadia de nogales	6	8	-60.0	emparejado por parecido 0.98
Abraveses de Tera	23	Abraveses	25	Abrabeses	20	21	-20.0	
Alcubilla de Nogales	43	Alcabilla	27	Alcobilla de la Abbadia de Nogales	27	31	+0.0	
Altobar de la Encomienda	49	Altobar	24	Altobares de la sacada de Benavente	34	38	+41.7	
Arcos de la Polvorosa	9	Arcos	30	Arcos	24	25	-20.0	
Aguilar de Tera	53	Aguilar de Riba de Tera	19	Aguilar de arriva de Tera	22	23	+15.8	
Valleluengo	64	El Valle	31	El valle	18	19	-41.9	
Barriones	50	Barriones	26	Barriones	24	30	-7.7	
Barcial del Barco	71	Berçial	25	Varçial	20	21	-20.0	
Belver	72	Belvis	29	Veluis	52	53	+79.3	emparejado por parecido 0.83
Verdenosa de la Polvorosa	21	La Verdenosa	36	La Verdenos que es del obispo de astorga	37	52	+2.8	
Bercianos de Valverde	97	Bercianos de Valverde	14	Briaçanos de Valverde	24	25	+71.4	
Bercianos de Vidriales	51	Brizianos de Val de Brediales	20	Brecianos de Valde Vidriales	31	32	+55.0	
Vega de Requejo (paraje)	16	Requexo	17	Requexo	19	20	+11.8	
Vega del Castillo	79	Vega del Castillo	14	Vega del Castillo	7	8	-50.0	
Vega de Tera	61	Vega de Riba de Tera	14	Vega de arriva de Tera	48	49	+242.9	
Bezar				Becar, del Sor de Becar	36	38		SOLO EN 1591
Becares	24	Bocares	18	Beçares, que es de Don Franco de Acuna	0	3	-100.0	emparejado por parecido 0.86
Vecilla de la Polvorosa	18	La Villa de Polboros	13	Polvorosa y Veçilla	7	8	-46.2	
Vecilla del Chantre	76	Vecilla del Chantre	16	Veçilla de Chantre	9	10	-43.8	
VECILLA DE TRASMONTE				Becilla	14	15		SOLO EN 1591
Villaveza del Agua	73	Villabeça del Barco	39	Va Beça del Varco	29	30	-25.6	
Villaveza de Valverde	96	Villabeça de Valverde	25	Va Beça de Valverde	30	33	+20.0	
Villabrazaro	17	Braçaron	41	Va Braçaro	26	30	-36.6	
Villafer	69	Villafer	32	Villafer	55	62	+71.9	
Villaferruena	41	Ferrueña	9	Ferruena	14	22	+55.6	
Villaquejida	54	Villaquixada	59	Va quixida	68	85	+15.3	
Villamandos	114	Villamandos	22	Va mandos	0	22	-100.0	
Villanazar	100	Villanaçar	23	Va naçar	21	22	-8.7	
Villanueva de Azoague	58	Villanueva de Asnague	12	Vanueva de açuabi	17	20	+41.7	
Villanueva de las Peras	91	Villanueva de Villaverde	19	Villanueva de Valverde	25	27	+31.6	
Villaobispo	80	Villa Obispo	18	Villa obispo del de Astorga	14	15	-22.2	
Villar de Ciervos	85	Villar de Syervos	64	Villa de Çiervos de don Diego Sarmiento	70	71	+9.4	emparejado por parecido 0.93
Villageriz	32	Villaxeris	20	Va Xeris	6	15	-70.0	
Breto	108	Brete	42	Breto	39	40	-7.1	
Bretocino	88	Bretoçano	15	Bretoçino	18	19	+20.0	
Brime de Sog	57	Breme de Sogo	41	Brime y sobo	39	42	-4.9	
Brime de Urz	81	Brime Dulce	26	Brime de Vize	33	34	+26.9	
Burganes de Valverde	89	Burgones	37	Burganes	31	32	-16.2	emparejado por parecido 0.94
Donadillo	75	Donadillo	23	Donadillo	73	75	+217.4	
Ferreras de Abajo	90	Ferreros de Abaxo	34	Ferreros de abajo	34	40	+0.0	
Ferreras de Arriba	38	Ferreros	8	Ferreros	12	14	+50.0	
Figueruela de Arriba	113	Figueruela	26	Figueruela	35	44	+34.6	
Folgoso de la Carballeda	3	Olgoso	14	Folgosso	31	32	+121.4	
Fresno de la Polvorosa	42	Fresno	15	Fresno	10	15	-33.3	
Fuente Encalada	109	Fuencalada	69	Fuent Calada	58	70	-15.9	
Quintanilla de Urz	78	Quintanilla de Ulce	31	Quintanilla de Vize	49	54	+58.1	
Quiruelas de Vidriales	59	Quiruelas	42	Quiruelas	52	58	+23.8	
Lordemanos	112	Lordemanos	19	Lordemanos	8	11	-57.9	
Manzanal de Arriba	86	Mançanal de Enzima	26	Mançanal de Ençima	72	73	+176.9	
Manganeses de la Polvorosa	10	Manganeses	41	Manganeses	27	30	-34.1	
Majada de Perilla (paraje)	67	Muelas	14	Muelas	29	30	+107.1	
Melgar de Tera	87	Melgar de Riba de Tera	37	Melgar de Riva de Tera	25	30	-32.4	
Milla de Tera	65	La Milla	20	Lamilla	35	36	+75.0	
Milles de la Polvorosa	8	Miles	27	Milles	25	26	-7.4	
Micereces de Tera	98	Mençareces	21	Mincarezes	20	23	-4.8	
Monte de Pobladura (paraje)	102	Pobladura de Trasmonte	15	Pobladura de Trasmo'te	10	11	-33.3	emparejado por parecido 0.95
Morales de Valverde	92	Morales de Valverde	18	Morales de Valverde	16	17	-11.1	
Morales del Rey	11	Morales de Rey	56	Morales del Rey	47	50	-16.1	
Moratones	93	Moratones	17	Moratones	19	20	+11.8	
Mozar	110	Moçar	14	Mocar	21	23	+50.0	
Navianos de Valverde	101	Navianos	36	Navianos	17	20	-52.8	
Nuez	105	Nuez	40	Nuez	112	114	+180.0	
Olleros de Tera	31	Olleros	19	Olleros	36	39	+89.5	
Olmillos de Valverde	33	Olmillos	21	Olmillos	15	16	-28.6	
Paladinos del Valle	7	Paladinos	17	Paladinos	16	17	-5.9	
Peque	74	Peque	44	Peque	57	59	+29.5	
Pobladura del Valle	19	Pobladura	4	Pobladura	8	9	+100.0	
Pozuelo de Vidriales	56	Poçuelo del Val de Vedriales	24	Pozuelo de Valdevidrianes	35	38	+45.8	
Pozuelo del Paramo	39	Poçuelo del Páramo	27	Poçuelo del Paramo	39	42	+44.4	
Puebla de Valverde	4	Pobla	10	La Puebla que es del obispo de Astorga	17	19	+70.0	emparejado por parecido 0.94
Pumarejo de Tera	55	Pomarejo	18	Pomarejo	23	24	+27.8	
Redelga de la Polvorosa	35	Redelga	12	Redelga que era del monesterio de Busto...	26	28	+116.7	
Ribera de Grajal	40	Ribera Páramo	15	Ribera del Paramo	26	37	+73.3	
Rosinos de Vidriales	77	Rosinos	47	Rossinos	41	42	-12.8	
Ruviales	25	Arrabal de la Encomienda de Ruviales	29	Arrabales de la encomienda de Ruviales	27	28	-6.9	emparejado por parecido 0.96
Cabanas de Tera	13	Cabañas	19	Cabanas	15	24	-21.1	
Calzada de Tera	60	Calçada	13	Calzada	23	25	+76.9	
Calzadilla de Tera	29	Carçadilla	10	Calçadilla	22	23	+120.0	
Camarzana de Tera	107	Comarçana	39	Camarçana del Obispo de Astorga	29	30	-25.6	
Campazas	115	Canpaces	65	Campaces	74	77	+13.8	
San Esteban de Nogales	37	Santistevan de Nogales	49	Santisteban de Nogales	65	68	+32.7	
San Miguel del Valle	28	Sant Miguel	11	St Miguel	15	16	+36.4	
San Pedro de Vina	63	San Pedro de la Viña	28	Sant Po de la vina	25	26	-10.7	
San Pedro de Zamudia	5	San Pedro de Çerneda	18	St Pedro de Çamudia	8	24	-55.6	
San Pedro de Ceque	34	Sant Pedro de Çeque	38	Sant Pedro de Ceque	68	80	+78.9	
San Roman del Valle	12	San Román	32	St Roman	31	34	-3.1	
San Cristobal de Entrevinas	36	Sant Christobal	92	St Xpoval	71	75	-22.8	
San Juanico el Nuevo	111	Sant Juan el Nuevo	19	St Juan el nuevo	8	14	-57.9	
Sandin	83	Sandín	15	Sandin	61	62	+306.7	
Santa Elena (despoblado de)	22	Sant Elena	16	Sta Elena	11	12	-31.2	
Santa Maria de Valverde	95	Santa María de Balverde	13	Sta Maria de Valverde	15	16	+15.4	
Santa Marta de Tera	104	Santa Marta de Riba de Tera	26	Sta Martha de Riva de Tera	34	35	+30.8	
Santa Colomba de las Monjas	6	Santa Coloma	22	Sta Coloma que es del monesterio de Sta Coloma	32	36	+45.5	
Santa Colomba de las Carabias	47	Santa Colonba de las Caravias	21	Sta Colomba de las Caravias	25	28	+19.0	
Santa Cristina de la Polvorosa	15	Santa Christina	37	Sta Christina	18	21	-51.4	
Santa Croya de Tera	52	Santa Croya	40	Sta Croya	24	25	-40.0	
Santiago de la Requejada	2	Requexada	53	La Requejada	30	48	-43.4	
Santibanez de Vidriales	14	Santivañes	62	Santivanez	41	53	-33.9	
Santibanez de Tera	62	Santibañez de Riba de Tera	40	Santibanez de arriva de Tera	34	35	-15.0	
Santovenia	26	Santovenia	47	Santo Venia	41	44	-12.8	
Carbajalinos	84	Carvallarinos	18	Carbajalinos	7	8	-61.1	
Castropepe	106	Castropeque	47	Castropepe	21	22	-55.3	
Castrogonzalo	70	Castro Gonçalo	64	Castro goçalo	41	47	-35.9	
Xecinas	44	Vezinas	21	Xeçinas	20	21	-4.8	emparejado por parecido 0.86
Cional	66	Cional	28	Çional	61	62	+117.9	
Sitrama de Tera	30	Sytrama	30	Sitrama	34	35	+13.3	
COLINAS DE TRASMONTE	45	Colinas	25	Colinas	27	28	+8.0	
Granja de Moreruela	116	Granja de Moreruela	58	La granja de Moreruela que es del monasterio de Moreruela	20	21	-65.5	
Granucillo	82	Los Varrios de Grammoyllo	67	Los Varrios de Granuçillo bassallos del Conde de Benavente	99	104	+47.8	emparejado por parecido 0.95
Grajal de la Ribera	48	Grajar	23	Grajales de Don Franco Pimentel	37	64	+60.9	
Grijalba de Vidriales	94	Grijalba	25	Grijalva	24	25	-4.0	
Cubo de Benavente	68	Cabo	25	Cubo	61	62	+144.0	
Junquera de Tera	103	Junquera	7	Junquera que es del Abbadia de Sancta Martha	14	28	+100.0	
Tardemeza	99	Tardemeçar	36	Tardemeca	21	25	-41.7	emparejado por parecido 0.95
La Torre del Valle	20	La Torre del Valle	73	La Torre del Valle	72	76	-1.4	
Huelga-Renueva (paraje)	27	Huerga	23	Huerga	6	7	-73.9	
