inscripcion	folio	manuscrito	denominacion_1970	pecheros	codigo_ine	pagina_impresa	observaciones
1	504 vº	Venavente	Benavente	379	49.021	204	
2	504 vº	Requexada	Santiago de la Requejada	53	49.181	204	
3	504 vº	Olgoso	Folgoso de la Carballeda	14	49.110	204	
4	504 vº	Pobla - Del Obispado de Astorga	Pueblica de Valverde	10	49.167	204	
5	504 vº	San Pedro de Çerneda	San Pedro de Zamudia	18	49.195	204	
6	504 vº	Santa Coloma - Del monasterio de Santa Coloma	Santa Colomba de las Monjas	22	49.199	204	
7	504 vº	Paladinos	Paladinos del Valle	17	49.220	204	
8	504 vº	Miles	Milles de la Polvorosa	27	49.118	204	
9	504 vº	Arcos	Arcos de la Polvorosa	30	49.011	204	
10	504 vº	Manganeses	Manganeses de la Polvorosa	41	49.109	204	
11	504 vº	Morales de Rey	id.	56	49.128	204	
12	504 vº	San Román	San Román del Valle	32	49.196	204	
13	504 vº	Cabañas	Cabañas de Tera	19	49.033	204	
14	504 vº	Santivañes	Santibáñez de Vidriales	62	49.206	204	
15	504 vº	Santa Christina	Santa Cristina de la Polvorosa	37	49.200	204	
16	504 vº	Requexo	Requejo	17	ºº	204	
17	504 vº	Braçaron	Villabrázaro	41	49.238	204	
18	504 vº	La Villa de Polboros	Vecilla de la Polvorosa	13	49.128	204	
19	504 vº	Pobladura	Pobladura del Valle	4	49.159	204	
20	504 vº	La Torre del Valle	id.	73	49.220	204	
21	505 rº	La Verdenosa - Del obispo de Astorga	id.	36	49.128	204	
22	505 rº	Sant Elena	Santa Elena	16	49.271	204	
23	505 rº	Abraveses	Abraveses de Tera	25	49.117	204	
24	505 rº	Bocares - De D. Francisco de Acuña	id.	18	24.003	204	
25	505 rº	Arrabal de la Encomienda de Ruviales	Arrabalde	29	49.015	204	
26	505 rº	Santovenia	id.	47	49.207	204	
27	505 rº	Huerga	id.	23	49.206	204	
28	505 rº	Sant Miguel	San Miguel del Valle	11	49.192	204	
29	505 rº	Carçadilla	Calzadilla de Tera	10	49.032	204	
30	505 rº	Sytrama	Sitrama de Tera	30	49.211	204	
31	505 rº	Olleros	Olleros de Tera	19	49.032	204	
32	505 rº	Villaxeris	Villageriz	20	49.244	204	
33	505 rº	Olmillos	Olmillos de Valverde	21	49.029	204	
34	505 rº	Sant Pedro de Çeque	San Pedro de Ceque	38	49.193	204	
35	505 rº	Redelga - Es del monasterio de Busto	Redelga de la Polvorosa	12	49.052	204	
36	505 rº	Sant Christobal	San Cristóbal de Entreviñas	92	49.187	204	
37	505 rº	Santistevan de Nogales - Es de la Aba- día de Nogales	San Esteban de Nogales	49	24.046	205	
38	505 rº	Ferreros	id.	8	49.179	205	
39	505 rº	Poçuelo del Páramo - De la Corona	Pozuelo del Páramo	27	24.117	205	
40	505 rº	Ribera Páramo - De don Francisco Pimentel Ribera de Grajal o de la Polvo	rosa	15	24.005	205	
41	505 rº	Ferrueña	Villaferrueña	9	49.243	205	
42	505 rº	Fresno	Fresno de la Polvorosa	15	49.075	205	
43	505 vº	Alcabilla - Es de la Abadía de Nogales	Alcubilla de Nogales	27	49.004	205	
44	505 vº	Vezinas	ºº	21	ºº	205	
45	505 vº	Colinas	Colinas de Trasmonte	25	49.051	205	
46	505 vº	Biçaria - De la Abadía de Nogales	Vicaría de la Abadía de Nogales	15	49.004	205	
47	505 vº	Santa Colonba de las Caravias	Santa Colomba de las Carabias	21	49.198	205	
48	505 vº	Grajar - Es de don Francisco Pimentel	Grajal de Ribera	23	24.005	205	
49	505 vº	Altobar - Es de la sacada de Benavente	id.	24	24.005	205	
50	505 vº	Barriones	ºº	26	ºº	205	
51	505 vº	Brizianos de Val de Brediales	Bercianos de Vidriales	20	24.206	205	
52	505 vº	Santa Croya	Santa Croya de Tera	40	49.201	205	
53	505 vº	Aguilar de Riba de Tera	Aguilar de Tera	19	49.117	205	
54	505 vº	Villaquixada	Villaquejida	59	24.221	205	
55	505 vº	Pomarejo	Pumarejo de Tera	18	49.116	205	
56	505 vº	Poçuelo del Val de Vedriales	Pozuelo de Vidriales	24	49.206	205	
57	505 vº	Breme de Sogo	Brime de Sog	41	49.027	205	
58	505 vº	Villanueva de Asnague	Villanueva de Azoague	12	49.257	205	
59	506 rº	Quiruelas	Quiruelas de Vidriales	42	49.171	205	
60	506 rº	Calçada	Calzada de Tera	13	49.231	205	
61	506 rº	Vega de Riba de Tera	Vega de Tera	14	49.231	205	
62	506 rº	Santibañez de Riba de Tera - Es de la Abadía de Santa Marta	Santibáñez de Tera	40	49.205	205	
63	506 rº	San Pedro de la Viña	id.	28	49.206	205	
64	506 rº	El Valle	Valleluengo	31	49.177	205	
65	506 rº	La Milla	Milla de Tera	20	49.231	205	
66	506 rº	Cional	id.	28	49.049	205	
67	506 rº	Muelas	ºº	14	ºº	205	
68	506 rº	Cabo	Cubo de Benavente	25	49.057	205	
69	506 rº	Villafer	id.	32	24.208	205	
70	506 rº	Castro Gonçalo	Castrogonzalo	64	49.041	205	
71	506 rº	Berçial	Barcial del Barco	25	49.019	205	
72	506 rº	Belvis	id.	29	49.192	206	
73	506 rº	Villabeça del Barco	Villaveza del Agua	39	49.271	206	
74	506 rº	Peque	id.	44	49.159	206	
75	506 rº	Donadillo	id.	23	49.112	206	
76	506 rº	Vecilla del Chantre	ºº	16	ºº	206	
77	506 vº	Rosinos	Rosinos de Vidriales	47	49.182	206	
78	506 vº	Quintanilla de Ulce - Es del monasterio del Val de Busto y de la jurisdicción de Radelga	Quintanilla de Urz	31	49.170	206	
79	506 vº	Vega del Castillo	id.	14	49.062	206	
