orden	lugar	cura	fecha_notificacion	notario	respuesta	imagen_copia_1842	observaciones
1	Mózar [de Valverde] [?]	Ldo. D. José Peláez Villarroel	1694-01-30	Francisco Domínguez	presto a entregar el diezmo de la Casa de Rey de 1692 dentro del término	49	el auto de Astorga nombra «los Curas de Villaveza de Valverde, de Grijalba, Mozar y más de esta Diócesis»: el topónimo es Mózar
2	Colinas de Trasmonte	Ldo. D. Antonio García Bernardo de Quirós [?]	1694-01-30	Francisco Domínguez	obedece, pero APELA del despacho y sus autos	49-50	segunda notificación el 12 de mayo de 1694; es el clérigo de Colinas más antiguo conocido por su nombre
3	Grijalba	Ldo. D. Matheo de Nágera	1694-02-01	Andrés Pérez	entregará a los alcaldes del lugar para que lo lleven a la villa de Benavente	50
4	Santibáñez de Vidriales	Ldo. D. Antonio Bellán Osorio	1694-02-01	Andrés Pérez	en febrero entregará; el 16 de mayo NO SE LE ENCUENTRA: el notario va tres veces a su casa	50-51	el censo de 1768 la llama «villa», y el despacho de 1694 también; su criada Antonia se niega a recibir el traslado y el notario se lo arroja al suelo
5	Ginestacio	Ldo. D. Pedro Morante de Salcedo	1694-02 [?]	Andrés Pérez	entregará, y reclama 50 reales que pagó de subsidio por dicha casa	52	vuelve a ser notificado el 18 de mayo de 1694 (img. 58)
6	Villa de la B… [?]	Ldo. D. Santiago Fernández de Arrabalde	1694-02 [?]	Andrés Pérez	los tiene a disposición del arrendatario Francisco Rodríguez Crespo, que no ha ido por ellos	52	lectura del topónimo dudosa
7	San Román del Valle	Ldo. D. Antonio de Cabañero(s)	1694-02-03	Andrés Pérez	obedece y entregará	52-53	segunda notificación el 12 de mayo de 1694 (img. 55)
8	Villaveza de Valverde	Ldo. D. Juan Montero Robledo	1694-02-07	Francisco Domínguez	entregará los diezmos de «la casa dezmera de Rey que toca a S. E.»	53
9	Morales de Valverde y sus anejos	Dr. D. José de Urnia [?]	1694-02-07	Francisco Domínguez	entregará granados y menudos «de las casas dezmeras de Rey» del lugar y sus anejos	53	en 1768 sigue siendo matriz con anejos
10	San Pedro de la Viña	D. Justo [?] (febrero) / D. Juan (mayo) de Albar González	1694-02-20 y 1694-05-16	Andrés Pérez	SE RESISTE dos veces: Real Provisión de la Chancillería, letras inhibitorias del metropolitano [?] y apelación	53-54, 56-57	⚠️ en febrero se lee «Justo» y en mayo «Juan»: o son dos clérigos o una de las dos lecturas falla
11	Fuente Encalada	Ldo. D. Tomás Crespo de Oña	1694-02 y 1694-05-15	Andrés Pérez	acepta liquidar como heredero de D. Juan Rodríguez de la Torre; de Moratones dice que no hay recibo	51, 56	D. Juan Rodríguez de la Torre fue cura de Rosinos y Moratones: la misma pareja de parroquias que el Censo de Aranda documenta en 1768
12	Villageriz [?]	Ldo. D. Isidro Prada Valadriz [?]	1694-02-02	Andrés Pérez	sólo le quedan dos corderas y un cordero, vendidos a Marcos Hernández, vecino de Moratones	51	el recibo obra en poder de Domingo de Castro, dezmero de aquel año
13	Bercianos de Vidriales	Ldo. D. Juan Fierro de Losada	1694-05-15	Roberto de Silva	responde «con la moderación y respeto debido»	55-56	
14	Rosinos de Vidriales	—	—	—	sin leer	49	nombrado en la cabecera del despacho de 28-I-1694
15	San Pedro de Zamudia	—	—	—	sin leer	37-38, 43	✅ 23-IX-2026: el topónimo queda resuelto. Se leía «Santa Cruz de Zamu…» `[?]`; la carpetilla de la copia de 1842 (img. 37) escribe «San Pedro de Zamudio» y el cuerpo del despacho (img. 38) y la petición del procurador (img. 43) escriben «San Pedro de Zamudia». Su cura sigue sin nombre: no se ha localizado su notificación
