numero	codigo	titulo	autores	paginas	acceso
2004, Nº 14	1395741	Acerca de la génesis de los Comentarios al Apocalipsis debidos a Beato de Liébana	Hermenegildo García-Aráez Ferrer	11-36	abierto
2004, Nº 14	1395762	Algunas viejas fotos inéditas de Villalpando	Fernando Regueras Grande	37-50	abierto
2004, Nº 14	1395783	El segundo Fuero de León y el alfoz de la ciudad	Juan José Sánchez Badiola	51-68	abierto
2004, Nº 14	1396336	Notas sobre el llamado "Castillo de Santibáñez" de Benavente	Rafael González Rodríguez	69-84	abierto
2004, Nº 14	1396337	El escudo de Benavente	José Ignacio Martín Benito	85-106	abierto
2004, Nº 14	1396338	La cofradía de San Antonio de Padua de labradores de la villa de Benavente en el siglo XVIII	Fernando Manzano Ledesma	107-122	abierto
2004, Nº 14	1396339	Notas sobre la represión física, económica y laboral en la ciudad de Benavente durante la Guerra Civil y postguerra (1936-1943)	Cándido Ruiz González	123-154	abierto
2004, Nº 14	1396340	El testamento de Francisco Suárez	Juan Carlos de la Mata Guerra	155-174	abierto
2004, Nº 14	1396341	Repertorio bibliográfico de los valles de Benavente (siglos XIX-XX)	Emiliano Pérez Mencía	175-188	abierto
2004, Nº 14	1396342	La educación musical en Benavente durante la Restauración (1875-1902)	Alfredo Llamas Gallego	189-208	abierto
2004, Nº 14	1396343	Fabrique de Castilla	Roxana Pérez Hidalgo	209-236	abierto
2004, Nº 14	1396344	Mortalidad de lobos en Zamora (1972 - 2000)	José Ignacio Regueras Grande	237-264	abierto
2004, Nº 14	1396345	Noticia de tres lipsanotecas de la iglesia de Santa Marta de Tera	Ángel Panizo Delgado	265-276	abierto
2004, Nº 14	3244765	Tipografía y diseño editorial en Zamora	Fernando Regueras Grande	277-283	abierto
2004, Nº 14	3244768	Fragmentos de libros, bibliotecas de fragmentos	Rafael González Rodríguez; Ana Suárez González	282-284	abierto
2003, Nº 13	1396402	Notas para pensar y andar la Vía de la Plata en la región de Benavente	Jorge Santiago Pardo	11-44	abierto
2003, Nº 13	1399569	Las estructuras territoriales en el nordeste de Zamora, entre la Antigüedad y la Edad Media	Iñaki Martín Viso	45-76	abierto
2003, Nº 13	1399574	Repertorio bibliográfico sobre los valles de Benavente	Emiliano Pérez Mencía	77-90	abierto
2003, Nº 13	1399577	La venta de Villafáfila al Marqués de Tábara	Elías Rodríguez Rodríguez	91-120	abierto
2003, Nº 13	1399579	La labor benéfico-social y las ayudas mutuas en la Cofradía de las Animas del Purgatorio de la villa de Benavente según sus Ordenanzas de 1552	Fernando Manzano Ledesma; María del Carmen Ansón Calvo	121-132	abierto
2003, Nº 13	1399582	Casa de doña Soledad González y su archivo familiar	Juan Carlos de la Mata Guerra	133-154	abierto
2003, Nº 13	1399586	Pleitos civiles del concejo de la Puebla de Sanabria en la Real Chancillería de Valladolid	José Ignacio Martín Benito	155-168	abierto
2003, Nº 13	1399589	Don Agustín González Pisador	Damián Yáñez Neira	169-184	abierto
2003, Nº 13	1399592	La ermita de La Soledad de Benavente, la cofradía de la Cruz y la capellanía del mismo nombre	Juan Carlos de la Mata Guerra	185-206	abierto
2003, Nº 13	1399596	El acceso a la Educación Secundaria durante la Restauración (1878-1890)	Alfredo Llamas Gallego	207-226	abierto
2003, Nº 13	1399599	La depuración de los empleados municipales durante la Guerra Civil (1936-1939)	Cándido Ruiz González	227-244	abierto
2003, Nº 13	1399600	Venticinco años después	Fernando Regueras Grande	245-252	abierto
2003, Nº 13	1399604	El Museo de Benavente y los Valles	Luis A. Grau Lobo	253-260	abierto
2003, Nº 13	1399606	Algunas anotaciones sobre la poesía	Roxana Pérez Hidalgo	261-276	abierto
2003, Nº 13	1399609	El círculo se estrecha	Luis A. Grau Lobo	277-280	abierto
2003, Nº 13	1399655	Una nueva obra de la "escuela de Toro" en Valderas (León)	Irune Fiz Fuertes	281-288	abierto
2003, Nº 13	3244756	"De las Cortes Históricas a los Parlamentos Democráticos. Castilla y León, s. XII-XXI"	Juan Carlos de la Mata Guerra; Eduardo Fuentes Ganzo; José Luis Martín Rodríguez	289-291	abierto
2003, Nº 13	3244761	"Fragmentos del Leviatán	Rafael González Rodríguez; Iñaki Martín Viso	291-294	abierto
2002, Nº 12	1399548	Nicasio Rodríguez Durán (1929-2002)	Fernando Regueras Grande	7-14	-
2002, Nº 12	1399552	Intervenciones artísticas de los condes de Benavente en Villalón (1434-1586)	Carlos Duque Herrero	15-42	abierto
2002, Nº 12	1399556	Estampa calcográfica en raso del virrey Palafox en biblioteca particular de Benavente	Fernando Regueras Grande	43-54	abierto
2002, Nº 12	1400238	A propósito de Santo Domingo de Benavente	Ramón Pérez de Castro	55-78	abierto
2002, Nº 12	1400239	Emisiones monetarias del siglo VI d. C. con leyenda LATINA MVNITA	Antonio Roma Valdés	79-84	abierto
2002, Nº 12	1400240	Repertorio bibliográfico sobre los valles de Benavente (siglo VI-XV)	Emiliano Pérez Mencía	85-106	abierto
2002, Nº 12	1400242	Aranceles del portazgo y castillaje del Concejo de Benavente	Rafael González Rodríguez	107-124	abierto
2002, Nº 12	1400247	Los caminos a Galicia desde Benavente hasta finales del siglo XVIII	José Ignacio Martín Benito	125-176	abierto
2002, Nº 12	1400248	Nuevos hallazgos prerrománicos en Santa Eulalia de Tábara	Fernando Regueras Grande	177-182	abierto
2002, Nº 12	1400249	Artesonados de procedencia zamorana en el Museo Nacional de Escultura (I)	Miguel Angel Marcos Villán	183-188	abierto
2002, Nº 12	1400252	Entre Benavente y Los Angeles	Mercedes Simal López	189-192	abierto
2002, Nº 12	1400254	El órgano de Santa María de Renueva	Juan Carlos de la Mata Guerra	193-198	abierto
2002, Nº 12	1400256	Posibilidades de conservación de la arquitectura popular	Emilio Ganado Abad	199-210	abierto
2002, Nº 12	1400261	Un museo en una torre de Villalpando	Tomás Osorio Burón	211-216	abierto
2002, Nº 12	3244710	La circulación monetaria en los valles de Benavente (Zamora)	Luis Sagredo San Eustaquio; Isabel Rodríguez Casanova	217-220	abierto
2002, Nº 12	3244712	"El reino de León en la época de las Cortes de Benavente"	Iñaki Martín Viso	220-222	abierto
2002, Nº 12	3244715	El obispado de Astorga en el siglo XIII	Rafael González Rodríguez; Augusto Quintana Prieto	222-224	abierto
2002, Nº 12	3244720	Valladolid, capital de la Corte	Fernando Regueras Grande; Jesús Urrea Fernández	225-226	abierto
1996, Nº 6	1400307	El yacimiento calcolítico de Las Peñas en Quiruelas de Vidriales (Zamora)	Joaquín Blanco Majado; José Ignacio Martín Benito	11-30	abierto
1996, Nº 6	1400310	Estudio geomorfológico del yacimiento protohistórico de Los Cuestos de la Estación, Benavente (Zamora)	Jesús Francisco Jordá Pardo	31-56	abierto
1996, Nº 6	1400315	Arqueología aérea de la Dehesa de Morales en Fuentes de Ropel (Zamora)	Julio del Olmo Martín	57-76	abierto
1996, Nº 6	1400318	Dedicaciones, consagraciones y monumenta consecrationes (ss.VI-XII)	Artemio Manuel Martínez Tejera	77-102	abierto
1996, Nº 6	1400319	Noticia de una nueva pintura en el Museo de León	Luis A. Grau Lobo	103-110	abierto
1996, Nº 6	1400321	Pinturas del Hospital de la Piedad (Benavente)	Fernando Regueras Grande	111-152	abierto
1996, Nº 6	1400325	Repoblación y reorganización de la red viaria	Rafael González Rodríguez	153-178	abierto
