id	prioridad	frente	tipo	quien	estado	que_es	referencia	institucion	desbloquea
LIB-01	1	6	libro	usuario	pendiente	RUIZ ASENCIO, J. M., «Colección documental del archivo de la Catedral de León (775-1230), IV (1032-1109)», León 1989	docs. 1121 y 1186	San Isidoro (León)	Castroferrol 1060 Y la mención de Colinas de 1073 — un solo volumen cierra los dos
LIB-02	1	6	libro	usuario	pendiente	CAVERO DOMÍNGUEZ, G. y MARTÍN LÓPEZ, E. (eds.), «Colección documental de la catedral de Astorga, I (646-1126)», León 1999	docs. 200 (1006) y 214 (1015) · ISBN 84-87667-32-5 · FEHL 77	Universidad de León / San Isidoro	La advocación de Castroferrol sobre el latín editado, no sobre la versión de un artículo
LIB-03	1	6	libro	usuario	pendiente	QUINTANA PRIETO, A., «Santa Marta de Tera», Zamora 1991	docs. XI y XII (1129 y 1170)	CEB «Ledo del Pozo» / IEZ	El deslinde del coto de 1129, que nombra la «vereda que baja de Castroferrol»
LIB-04	2	6	libro	usuario	pendiente	SÁEZ, E. y SÁEZ, C., «Colección documental del archivo de la Catedral de León (775-1230), II (953-985)», León 1990	doc. 353 (año 962) · FEHL 42	San Isidoro (León)	El documento más antiguo del corpus: la viña junto al Almucera
LIB-05	2	15	libro	usuario	pendiente	RIESCO CHUECA, P. (2018), toponimia de la provincia de Zamora	entradas «Colinas» y «Trasmonte»	—	El origen del nombre del pueblo. Su artículo de 2010, ya en el proyecto, NO trae la entrada
LIB-06	2	1	libro	usuario	pendiente	DE DIEGO GONZÁLEZ, P. A. (ed.), «Respuestas generales del Catastro de Ensenada de la Tierra de Benavente»	ISBN 978-84-942037-6-3 · 545 pp. (tenemos sólo pp. 238-243)	CEB «Ledo del Pozo» (Benavente)	El cotejo de «el Santuario» en los 22 pueblos restantes de la edición
LIB-07	3	6	libro	usuario	pendiente	CABERO DOMÍNGUEZ, Mª C. (1995), «Astorga y su territorio en la Edad Media (s. IX-XIV)»	ISBN 978-84-7719-523-8	Universidad de León	Contexto de las menciones de 1060, 1129 y 1170
LIB-08	3	6	libro	usuario	pendiente	CAVERO DOMÍNGUEZ, G. y MARTÍN LÓPEZ, E., «Colección documental de la catedral de Astorga, II (1126-1299)»	FEHL 78	Universidad de León	Las menciones de 1129 y 1170 en la colección de Astorga
LIB-09	3	18	libro	usuario	pendiente	BERDUM DE ESPINOSA (1753), la obra heráldica que cita el expediente de Tábara	—	—	Las armas de los Pimentel con fuente heráldica, si se decide usarlas (repertorio A.18)
LIB-10	4	6	libro	usuario	pendiente	SANZ FUENTES, Mª J. (2010), «El Tumbo Negro de la Catedral de Astorga»	ISBN 978-84-937823-0-6	Astorga	Contexto de la transmisión del códice del que depende el documento de 963
