archivo	signatura	fechas	titulo	pares_id	imagenes	digitalizado_verificado_2026-09-23	leido_2026-09-23
Archivo de la Real Chancillería de Valladolid	PL CIVILES,TABOADA (OLV),CAJA 726,1	1551	Pleito litigado por Martín Alonso, vecino de Colinas de Trasmonte, con Pedro Alonso de Soguillo, vecino de Quintanilla de Urz, sobre la posesión de cierto número de ovejas. Escribano de cámara: Pedro de Palacios	13053645	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion (Martin Alonso, 1551)
Archivo Histórico de la Nobleza	OSUNA,C.426,D.135	1561	Relación de declaraciones de los dezmeros asentados en las propiedades de [Antonio Alfonso Pimentel de Herrera, III] conde-duque de Benavente, recopiladas por Julián Cordero	5496338	19	SI - DESCARGADO en docs/01-fuentes-primarias/dezmeros-benavente/	VISTO 23-IX-2026 - asiento de Colinas localizado en el folio 8; NO TRANSCRITO (letra procesal, zoom topado) -> dezmeros-benavente/
Archivo de la Real Chancillería de Valladolid	PL CIVILES,ALONSO RODRÍGUEZ (OLV),CAJA 368,1	[probable] 1600 / [probable] 1608	Pleito del concejo y vecinos de Colinas de Trasmonte con el concejo y vecinos del lugar de Vecilla de Trasmonte, sobre el aprovechamiento del agua de la fuente o caño llamado el Calero	12803513	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
Archivo Histórico de la Nobleza	OSUNA,CT.271,D.16-35	1646	Cartas de los obispos de Astorga dirigidas a los duques del Infantado, Béjar, Osuna y Benavente, sobre diferentes asuntos	3910149	42	SI	LEIDO 23-IX-2026 - 42 img; D.21 = carta de la ermita, 6-IV-1756 -> osuna-astorga/
Archivo Histórico de la Nobleza	OSUNA,C.466,D.89-90	1694	Disposición para que se paguen los diezmos pertenecientes a Francisco Casimiro Pimentel, [IX] conde-duque de Benavente	5315338	68	SI	LEIDO 23-IX-2026 - 68 img; D.89 = despacho de diezmos y notificacion del cura de Colinas, 12-V-1694 -> osuna-astorga/. D.90 (traslado de Madrid, 18-I-1842) SIN LEER
Archivo de la Real Chancillería de Valladolid	PL CIVILES,ALONSO RODRÍGUEZ	1757/1759	Pleito de Francisco Escudero, cura del lugar de Colinas de Trasmonte y demás eclesiásticos del lugar, con Manuel García Pescador	193550	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
Archivo de la Real Chancillería de Valladolid	REGISTRO DE EJECUTORIAS,CAJA 3250,23	1757	Ejecutoria del pleito litigado por Francisco Escudero, cura del lugar de Colinas de Trasmonte, y otros consortes, todos eclesiásticos	5819964	8	SI	LEIDO 23-IX-2026 - 8 img -> ejecutorias-chancilleria/ (Francisco Escudero, arcipreste, 1757)
Archivo de la Real Chancillería de Valladolid	REGISTRO DE EJECUTORIAS,CAJA 3359,51	1772	Ejecutoria del pleito litigado por Simón Prieto Montero, clérigo de menores, vecino de Otero de Sanabria, con Francisco Gutiérrez	5814511	10	SI	LEIDO 23-IX-2026 - 10 img -> ejecutorias-chancilleria/ (Simon Prieto Montero, aniversarios, 1772)
Archivo de la Real Chancillería de Valladolid	REGISTRO DE EJECUTORIAS,CAJA 3767,43	1804	Ejecutoria del pleito litigado por Alonso Gavilla y su mujer, vecinos de Morales del Rey, con Domingo Bernardo, vecino de Colinas de Trasmonte	5803094	10	SI	LEIDO 23-IX-2026 - 10 img -> ejecutorias-chancilleria/ (Alonso Gavilan, 1804)
Archivo de la Real Chancillería de Valladolid	PL CIVILES,FERNANDO ALONSO	1808/1833	Pleito del concejo de Quiruelas de Vidriales con el concejo de Colinas de Trasmonte, sobre pastos	12769296	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
Archivo de la Real Chancillería de Valladolid	PL CIVILES,FERNANDO ALONSO	1829/1831	Pleito de los Concejos de Colinas de Trasmonte, Vecilla de Trasmonte y consortes, con el Concejo de Quiruelas de Vidriales	12709231	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
Archivo Histórico Nacional	DIVERSOS-MESTA,746,Exp.38	1863/1902	Acta de reconocimiento de vías pecuarias del término de Colinas de Trasmonte (1863) y copia del acta de reconocimiento de la Cañada Real Sanabresa (1895)	6436983	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
Archivo Histórico Nacional	SIGIL-TINTA_ZAMORA,20,N.31	1876	★ Sellos del Ayuntamiento Constitucional de Colinas de Trasmonte	4536201	4	SI - DESCARGADO en docs/01-fuentes-primarias/sello-1876/	LEIDO Y TRANSCRITO - 4 img -> sello-1876/ (unico emblema historico documentado)
Archivo Histórico Nacional	DIVERSOS-MESTA,1289,Exp.108	—	Certificaciones de vías pecuarias de Colinas de Trasmonte	6594971	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
Archivo Histórico Nacional	DIVERSOS-MESTA,1040,Exp.16	1971/1972	Proyecto de clasificación de las vías pecuarias de Colinas de Trasmonte	6731736	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
Archivo Histórico Nacional	FC-CAUSA_GENERAL,1318,Exp.4	1941/1942	Causa General, Partido Judicial de Benavente (Zamora)	4404882	139	SI	SIN LEER - 139 img digitalizadas; materia sensible (Causa General), pendiente de criterio antes de abrirla
Archivo Histórico Nacional	—	1941/1942	Partido Judicial de Benavente (Zamora)	4403408	0	NO digitalizado - hay que pedir reproduccion	NO LEIDO - sin digitalizar; hay que pedir reproduccion
