entrada	quien	por_que_sale	fichero_commons	autor	obra	fecha_obra	licencia	pagina_commons	tamano
bermudo	Bermudo II de León	El rey que entrega la villa en compensación por las tierras del Bierzo	File:Vermudo II no Compendio de crónicas de reyes.jpg	Unknown author Unknown author	Vermudo II no Compendio de crónicas de reyes	between circa 1312 and circa 1325 date Q	Public domain	https://commons.wikimedia.org/wiki/File:Vermudo_II_no_Compendio_de_cr%C3%B3nicas_de_reyes.jpg	725x1427
d1129	Alfonso VII	El rey que confirma el coto en el que Castroferrol es mojón	File:Afonso VII de Leão e Castela - Compendio de crónicas de reyes (Biblioteca Nacional de España).png	Unknown author Unknown author	Afonso VII de Leão e Castela - Compendio de crónicas de reyes (Biblioteca Nacional de España)	between circa 1312 and circa 1325 date Q	Public domain	https://commons.wikimedia.org/wiki/File:Afonso_VII_de_Le%C3%A3o_e_Castela_-_Compendio_de_cr%C3%B3nicas_de_reyes_(Biblioteca_Nacional_de_Espa%C3%B1a).png	762x1407
d1170	Fernando II de León	El rey que revalida los mismos límites cuarenta y un años después	File:Fernando II de Galicia e Leon no tombo A.jpg	Unknown author Unknown author	Fernando II de Galicia e Leon no tombo A	between circa 1175 and circa 1180 date Q	Public domain	https://commons.wikimedia.org/wiki/File:Fernando_II_de_Galicia_e_Leon_no_tombo_A.jpg	875x1024
pecheros1526	Carlos I de España	El censo de pecheros se levanta en su reinado y lleva su nombre	File:Carlos V en Mühlberg, by Titian, from Prado in Google Earth.jpg	Titian	Spanish: Carlos V en la batalla de Mühlberg Equestrian Portrait of Charles V label QS:Les," Carlos V en la batalla de Mü	1548 date QS:P571,+1548-00-00T00:00:00Z/	Public domain	https://commons.wikimedia.org/wiki/File:Carlos_V_en_M%C3%BChlberg,_by_Titian,_from_Prado_in_Google_Earth.jpg	1400x1661
c1613	Felipe III	El rey que envía al deán de Salamanca a averiguar qué iglesias son del Real Patronato	File:Velázquez - Felipe III (Museo del Prado, 1634-35).jpg	Diego Velázquez	Spanish: Felipe III a caballo Equestrian Portrait of Philip III label QS:Les," Felipe III a caballo " label QS:Lfr," Phi	circa 1635 date QS:P571,+1635-00-00T00:0	Public domain	https://commons.wikimedia.org/wiki/File:Vel%C3%A1zquez_-_Felipe_III_(Museo_del_Prado,_1634-35).jpg	1400x1349
nuncio1694	Inocencio XII	El papa bajo cuyo pontificado actúa el Nuncio contra el provisor de Astorga	File:Pope Innocent XII.PNG	Pietro Paolo Veglia	Italian: Ritratto di Innocenzo XII Pignatelli Portrait of Innocent XII Pignatelli title QS:P1476,it:"Ritratto di Innocen	between 1691 and 1692 date QS:P,+1691-00	Public domain	https://commons.wikimedia.org/wiki/File:Pope_Innocent_XII.PNG	800x1009
aranda1768	El conde de Aranda	El censo de 1768 se ordena bajo su presidencia y lleva su nombre	File:Pedro Pablo Abarca de Bolea, Count of Aranda.jpg		Pedro Pablo Abarca de Bolea, Count of Aranda		Public domain	https://commons.wikimedia.org/wiki/File:Pedro_Pablo_Abarca_de_Bolea,_Count_of_Aranda.jpg	1400x1865
floridablanca	El conde de Floridablanca	El censo de 1787 se ordena bajo su gobierno y lleva su nombre	File:Goya - José Moñino y Redondo, I conde de Floridablanca.jpg	Francisco Goya	José Moñino, 1st Count of Floridablanca and Francisco de Goya label QS:Les," El conde de Floridablanca y Francisco de Go	1783 date QS:P571,+1783-00-00T00:00:00Z/	Public domain	https://commons.wikimedia.org/wiki/File:Goya_-_Jos%C3%A9_Mo%C3%B1ino_y_Redondo,_I_conde_de_Floridablanca.jpg	1400x2229
provincia	Francisco Javier de Burgos	Ministro de Fomento y autor de la división provincial de 1833	File:Francisco Javier de Burgos, de Domingo Valdivieso Henarejos.jpg	Domingo Valdivieso y Henarejos	Francisco Javier de Burgos, de Domingo Valdivieso Henarejos	19 th century date QS:P,+1850-00-00T00:0	Public domain	https://commons.wikimedia.org/wiki/File:Francisco_Javier_de_Burgos,_de_Domingo_Valdivieso_Henarejos.jpg	819x1200
madoz	Pascual Madoz	El autor del diccionario en el que Colinas ocupa nueve líneas	File:Pascual Madoz, de José Nin y Tudó (1873), Congreso de los Diputados.jpg	José Nin y Tudó	Pascual Madoz, de José Nin y Tudó (1873), Congreso de los Diputados	1873	Public domain	https://commons.wikimedia.org/wiki/File:Pascual_Madoz,_de_Jos%C3%A9_Nin_y_Tud%C3%B3_(1873),_Congreso_de_los_Diputados.jpg	1400x1916
osuna1848	Mariano Téllez-Girón, XII duque de Osuna	El titular de la casa cuyo archivo conserva el legajo de 1694	File:Mariano Téllez-Girón, XII duque de Osuna (Museo Nacional del Romanticismo de Madrid).JPG	Valentin Carderera y Solano	Mariano Téllez-Girón y Beaufort Spontin	circa 1833 date QS:P571,+1833-00-00T00:0	Public domain	https://commons.wikimedia.org/wiki/File:Mariano_T%C3%A9llez-Gir%C3%B3n,_XII_duque_de_Osuna_(Museo_Nacional_del_Romanticismo_de_Madrid).JPG	756x1050
