clave	planos_iryda_1975_77	catastro	mtn50_1a_ed	osm	n_capas	emparejamiento
CASTILLETES	Los Castilletes	LOS CASTILLETES	Los Castilletes	Los Castilletes	4	exacto
LINARES	Linares	LINARES	Los Linares	Los Linares	4	exacto
AVISEO	El Aviseo	EL AVISEO		El Aviseo	3	exacto
BALDIOS	Los Baldíos	BALDIOS		Baldíos	3	exacto
CASERIO	El Caserío	EL CASERIO		El Caserío	3	exacto
GANAL		LA GANAL	El Ganal	La Ganal	3	exacto
HOYO	El Hoyo	EL HOYO		El Hoyo	3	exacto
HUERGAS		HUERGAS	Las Huergas	Las Huergas	3	exacto
LLANOS	Los Llanos	LOS LLANOS	Los Llanos		3	exacto
MANZANILLEROS	Manzanilleros	MANZANILLEROS		Manzanilleros	3	exacto
PATERAS	Las Pateras	LAS PATERAS		Las Pateras	3	exacto
PENDON	El Pendón	EL PENDON		El Pendón	3	exacto
PLANILLO	Tierra del Planillo	TIERRAS DEL PLANTIO		El Plantío	3	[?] propuesto: «Tierra del Planillo» (1977) = «TIERRAS DEL PLANTIO» (Catastro)
PORQUERAS	Las Porqueras	LAS PORQUERAS		Las Porqueras	3	exacto
QUINONES	Quiñones	QUIÑONES		Los Quiñones	3	exacto
RAPOSERAS	Raposeras	RAPOSERAS		Las Raposeras	3	exacto
TAPIAS	Las Tapias	LAS TAPIAS		Las Tapias	3	exacto
VALANCINAS	Valancinas	VALANCINAS		Las Valencinas	3	resuelto: «Las Valencinas» de OSM es Valancinas
VALLE	El Valle	EL VALLE	El Valle		3	exacto
VALLONDO	Vallondo	VALLONDO	Vallando		3	resuelto: «Vallando» del MTN50 es Vallondo
BORUNDA			La Borunda	La Borunda	2	exacto
CALERAS	Las Caleras	CALERAS			2	exacto
CANO NUEVO	Caño Nuevo	TIERRAS DE CAÑO NUEVO			2	exacto
CAPILLA			La Capilla	La Capilla	2	exacto
ENCINA	La Encina	LA ENCINA			2	exacto
ERAS			Las Eras	Las Eras	2	exacto
FORNATEJAS			Fornatejas	Fornatejas	2	exacto
LOMBO			El Lombo	El Lombo	2	exacto
MARTIRES	Los Mártires	LOS MARTIRES			2	exacto
MINA	Tierras de la Mina	TIERRAS DE LA MINA			2	exacto
NEGUILLOS	Los Neguillos	LOS NEGUILLOS			2	exacto
PARCELAS VALLONDO	Parcelas de Vallondo	PARVELAS DE VALLONDO			2	errata del Catastro: «PARVELAS» por «Parcelas», corregida sobre el plano de 1977
PEDAZO			El Pedazo	El Pedazo	2	exacto
PESCUEZA	Pescueza	PESCUEZA			2	exacto
PIDE CERVILLA	Pico de la Cervilla	PICO DE LA CERVILLA			2	exacto
PRADO ARENALES			Prado Arenales	Prado Arenales	2	exacto
PRESILLAS		PRESILLAS		Las Presillas	2	exacto
REDONDILLO			El Redondillo	El Redondillo	2	exacto
REGUERA MAESTRA	Regüera Maestra	REGADERA MAESTRA			2	[?] propuesto: «Regüera Maestra» (1977) = «REGADERA MAESTRA» (Catastro)
SALUDES			Saludes	Saludes	2	exacto
VACAS	Las Vacas	LAS VACAS			2	exacto
VALDEMANZANAS	Valdemanzanas	VALDEMANZANAS			2	exacto
VALMAYOR			Valmayor	Valmayor	2	exacto
VEGA ARRIBA	Vega de Arriba	VEGA DE ARRIBA			2	exacto
VIVARES			Los Vivares	Los Vivares	2	exacto
A. ALMUCERA			A.º Almucera		1	
A. PALERO			A.º Palero		1	
A. SAN JUAN			A.º de San Juan		1	
A. VALLANDO			A.º de Vallando		1	
ACANAL				El Acanal	1	
ALTO			Camino alto		1	
ALTURA				La Altura	1	
ARENALES				Los Arenales	1	
ARENALES RIO		ARENALES RIO			1	
BABADEROS	Babaderos				1	
BALLIZARES			Los Ballizares		1	
BURRIALES				Los Burriales	1	
C AL MOLINO			Cº al Molino		1	
C VECILLA			Cº de Vecilla		1	
CABANA				La Cabaña	1	
CALVARIO				El Calvario	1	
CANADA	La Cañada				1	
CANO CHICO	Caño Chico				1	
CANO GRANDE	Caño Grande				1	
CANO PEQUENO	Caño Pequeño				1	
CARRETERA			Carretera		1	
CARRIL				El Carril	1	
CARVAJAL				El Carvajal	1	
CASA			Casa		1	
CHAPUCEROS				Los Chapuceros	1	
CIERNA		LA CIERNA			1	
COLINAS				Camino de Colinas	1	
COLOMBIANOS ARRIBA				Los Colombianos de Arriba	1	
CURSILLOS				Los Cursillos	1	
CURVA				La Curva	1	
DEHESA			Dehesa		1	
DESMONTES	Los Desmontes				1	
FILLOVAL				Filloval	1	
GAGANAL				El Gaganal	1	
GALGAS				Las Galgas	1	
JARALES				Los Jarales	1	
LAGUNA MONTICO				Laguna del Montico	1	
LINARES BABADEROS		LINARES BABADEROS			1	
LINARES NESILLO				Linares del Nesillo	1	
LLANADA				Llanada	1	
LOBA		LA LOBA			1	
MARY BLANCAS		MARY BLANCAS			1	
MATON				El Matón	1	
MERINO			Merino		1	
MILANO		EL MILANO			1	
MONTE			Monte		1	
MORO				El Moro	1	
NAVALES				Navales	1	
NUEVO			Camino Nuevo		1	
OLVIDO	El Olvido				1	
PALERA		LA PALERA			1	
PICOS				Los Picos	1	
PLANTIOS				Los Plantíos	1	
PONTON				El Pontón	1	
REAL			Camino Real		1	
REBOLLA				La Rebolla	1	
REDONDAL				El Redondal	1	
REGARAL				El Regaral	1	
REGATA				La Regata	1	
REGUERA	La Regüera				1	
RIO TERA			Río Tera		1	
ROTO BARRIA				Roto de la Barría	1	
SALSA				La Salsa	1	
SARDONAL				El Sardonal	1	
SASTRA				La Sastra	1	
SUPUESTA				La Supuesta	1	
VALDECUBA				Valdecuba	1	
VALLE BECERRA				Valle Becerra	1	
VALLE HONDO				Valle Hondo	1	
VALLE MORALES			Valle Morales		1	
VEGA				La Vega	1	
VEGA ABAJO		VEGA DE ABAJO			1	
VEGA BAJA				Vega Baja	1	
VEGUELLINA		VEGUELLINA			1	
VEREDA GANADO			Vereda del ganado		1	
VILLAOFIN				Villaofín	1	
VINAS				Las Viñas	1	
ZAMORANO			Camino Zamorano		1	
