paraje	cod	parcelas	sup_ha	lat	lon	dist_m_al_casco	rumbo	en_plano_1975	en_osm	poligono
N-525	121	2	2.87	42.00253	-5.80915	111	S			004
PUEBLO	89	11	2.66	42.00443	-5.80647	242	ENE			004
DESCUENTO	20	123	73.83	42.00516	-5.80461	416	ENE			004+005
LA CIERNA	50	12	8.48	42.00016	-5.80585	462	SE			004
LAS PATERAS	60	42	49.37	41.99988	-5.81200	470	SSO		sí	004
LOS MARTIRES	72	7	2.69	42.00276	-5.80345	478	E	sí		004
EL VALLE	39	40	34.43	42.00621	-5.81479	554	ONO	sí		004
LA LOBA	53	1	0.00	42.00541	-5.80291	555	ENE			004
LAS PORQUERAS	62	39	26.47	42.00962	-5.80752	690	N	sí	sí	004
RAPOSERAS	92	41	17.02	41.99942	-5.81577	713	SO			004
LA GANAL	52	24	18.25	41.99763	-5.80343	808	SE			004
VALDEMANZANAS	111	5	4.74	42.00153	-5.79952	826	ESE	sí		004
LA ENCINA	51	18	17.33	42.01065	-5.81251	839	NNO	sí		004
CARRETERA	12	19	10.46	41.99976	-5.79991	870	ESE			004
VEGUELLINA	119	30	12.09	41.99548	-5.81016	899	S			004
ZA-P-1510	123	1	0.05	42.00784	-5.81836	900	ONO			004
LAS VACAS	64	17	14.59	41.99674	-5.81571	930	SO			004
MANZANILLEROS	78	9	4.75	42.00134	-5.82031	955	OSO		sí	004
EL HOYO	29	22	22.92	42.00627	-5.79808	964	ENE	sí	sí	004
LINARES BABADEROS	66	6	4.38	41.99851	-5.81944	1017	OSO			004
EL AVISEO	21	33	28.93	42.00359	-5.79665	1032	E	sí	sí	004
PESCUEZA	84	9	5.65	42.01288	-5.80757	1048	N	sí		004
QUIÑONES	90	5	2.06	42.00188	-5.82245	1115	O			004
EL MILANO	30	16	11.24	41.99418	-5.81505	1148	SSO			004
REGADERA MAESTRA	93	5	4.01	41.99761	-5.82053	1149	SO			004
LA REGATA COLINAS DE TRASMONTE	57	72	70.70	42.01110	-5.79937	1167	NE			004
LINARES	65	17	8.63	42.00024	-5.82305	1207	OSO			004
LOS LLANOS	71	16	14.14	42.01448	-5.80829	1219	N	sí		004
LOS NEGUILLOS	73	21	15.92	42.01391	-5.80339	1249	NNE	sí		004
LA PALERA	55	26	20.43	41.99209	-5.81011	1274	S			004
TIERRAS DE LA MINA	99	8	8.03	41.99633	-5.82233	1352	SO			004
TIERRAS DE CAÑO NUEVO	98	14	8.99	41.99849	-5.82513	1435	OSO			004
ARROTOS DE CAÑO NUEVO	6	11	11.84	41.99390	-5.82123	1464	SO			004
MARY BLANCAS	80	32	29.51	41.99118	-5.81799	1556	SSO			004
TIERRAS DEL PLANTIO	100	6	7.19	41.99461	-5.82472	1626	SO			004
VEGA DE ABAJO	117	23	16.97	41.98890	-5.81195	1643	S			004
VALANCINAS	105	22	19.85	42.01731	-5.80177	1649	NNE	sí		004
BALDIOS	7	37	56.94	42.01126	-5.79010	1793	ENE	sí		004
VEGA DE ARRIBA	118	28	27.36	41.99607	-5.82882	1825	OSO			004
PARVELAS DE VALLONDO	83	15	30.15	42.00728	-5.78712	1867	ENE	sí		004
ARROTOS	5	21	19.88	41.98808	-5.81919	1908	SSO			004
HUERGAS	44	1	0.28	41.98653	-5.81256	1912	S			005
CALERAS	9	24	22.87	41.99079	-5.82568	1968	SO			004+005
ARENALES RIO	4	43	30.93	41.98540	-5.81750	2131	SSO			005
PRESILLAS	88	1	9.59	41.99358	-5.83154	2157	OSO			005
R QUIRUELAS	91	16	16.49	42.02216	-5.79839	2254	NNE			004
EL PENDON	34	52	57.23	42.01960	-5.79193	2284	NE	sí		004
LAS TAPIAS	63	7	9.80	42.01374	-5.78231	2490	ENE	sí	sí	004
VALLONDO	114	66	74.89	42.02029	-5.78553	2698	NE	sí		004
PICO DE LA CERVILLA	85	7	7.69	42.01286	-5.77847	2738	ENE	sí		004
EL CASERIO	26	9	7.34	42.02615	-5.79395	2811	NNE	sí		004
LOS CASTILLETES	69	9	11.34	42.01517	-5.77874	2825	ENE	sí	sí	004
