paraje	lat	lon	dist_m_al_casco	rumbo
Manzanilleros	42.00078	-5.81339	376	SO
El Regaral	42.00809	-5.80390	754	NE
El Gaganal	41.99743	-5.80505	774	SSE
El Pontón	41.99457	-5.81195	972	S
El Lombo	42.00704	-5.79954	981	ENE
Camino de Colinas	42.00930	-5.81923	1004	NO
Las Porqueras	42.00995	-5.80134	1050	NE
El Redondal	41.99467	-5.80337	1108	SSE
Fornatejas	42.01146	-5.80230	1128	NE
Los Linares	41.99804	-5.82201	1130	OSO
El Aviseo	42.00447	-5.79511	1259	E
El Pedazo	42.00216	-5.82622	1325	O
La Supuesta	41.99224	-5.80332	1349	SSE
La Salsa	41.99031	-5.80718	1458	S
Las Pateras	42.00170	-5.79190	1526	E
La Capilla	42.01693	-5.80911	1528	N
El Hoyo	42.00728	-5.79179	1591	ENE
Las Huergas	41.99080	-5.82116	1649	SSO
El Calvario	42.01413	-5.82523	1733	NO
Valdecuba	42.01667	-5.82294	1827	NO
Villaofín	41.99029	-5.79652	1832	SE
Los Vivares	42.02095	-5.81350	1990	N
Roto de la Barría	41.99586	-5.78825	1994	ESE
Los Picos	41.99087	-5.82785	2001	SO
El Moro	42.01357	-5.83032	2018	NO
Vega Baja	42.00218	-5.83507	2054	O
Baldíos	42.01233	-5.78855	2060	ENE
Las Presillas	41.99441	-5.83226	2066	OSO
Las Valencinas	42.01497	-5.79082	2070	NE
Linares del Nesillo	42.00640	-5.83499	2075	O
La Ganal	42.01062	-5.83345	2086	ONO
El Plantío	41.99879	-5.83482	2089	OSO
La Cabaña	42.02202	-5.80467	2141	NNE
El Pendón	42.01945	-5.79620	2145	NNE
Llanada	41.98984	-5.78983	2250	SE
Los Quiñones	42.00872	-5.83655	2258	ONO
Los Burriales	42.02225	-5.82451	2422	NNO
Valmayor	42.02578	-5.80317	2576	NNE
La Altura	41.99211	-5.78247	2607	ESE
Los Jarales	41.98890	-5.78482	2637	SE
La Regata	42.02537	-5.82210	2650	NNO
Los Cursillos	42.02757	-5.80912	2709	N
El Carril	42.00203	-5.84334	2738	O
Las Tapias	42.01068	-5.77846	2754	ENE
Los Chapuceros	42.00650	-5.84383	2799	O
Valle Hondo	42.02078	-5.78550	2827	NE
El Sardonal	42.02308	-5.83336	2920	NO
La Sastra	42.02952	-5.82094	3055	NNO
Los Castilletes	42.01752	-5.77783	3115	ENE
El Caserío	42.02838	-5.79273	3150	NNE
Saludes	42.03086	-5.81924	3162	NNO
El Redondillo	42.02569	-5.83413	3184	NO
El Carvajal	42.03167	-5.80358	3211	N
La Rebolla	42.02875	-5.82910	3238	NNO
El Matón	41.99536	-5.77250	3240	ESE
Navales	42.01034	-5.84842	3252	ONO
Prado Arenales	41.99524	-5.84960	3370	OSO
Los Arenales	42.01351	-5.84917	3413	ONO
Filloval	42.00782	-5.85110	3414	O
Los Plantíos	42.00286	-5.85239	3482	O
Laguna del Montico	42.01753	-5.77152	3573	ENE
Las Galgas	42.03003	-5.83459	3596	NO
La Vega	41.98827	-5.85141	3786	OSO
Las Eras	42.02730	-5.84344	3833	NO
La Borunda	42.02701	-5.77655	3840	NE
Las Viñas	42.01699	-5.85314	3860	ONO
Las Raposeras	42.02189	-5.84983	3874	ONO
Los Colombianos de Arriba	42.01651	-5.76521	4004	ENE
La Vega	42.02445	-5.85176	4164	NO
El Acanal	42.03067	-5.84614	4256	NO
La Curva	42.02811	-5.85190	4415	NO
Valle Becerra	42.02899	-5.76549	4678	NE
