paraje	cod	parcelas_muestreadas	sup_muestreada_ha	lat	lon	dist_m_al_casco_de_colinas	rumbo
EL MONTE	31	175	27.03	42.01702	-5.87220	5422	ONO
EL RASO	36	91	17.50	42.01424	-5.85758	4175	ONO
ARENALES	3	89	16.91	42.01594	-5.84269	3097	ONO
VALDEFRADES	108	75	12.84	42.01555	-5.84933	3580	ONO
PINOS	86	64	6.78	42.03104	-5.79777	3200	NNE
VEGA BAJA	116	53	22.83	42.00056	-5.83380	2065	O
DESCUENTO	20	51	35.25	42.01537	-5.84252	3056	ONO
LA LOBA	53	48	8.10	42.03339	-5.80223	3369	N
EL TAMARAL	38	46	47.82	42.00239	-5.84610	3057	O
EL FRAILE	28	44	20.99	42.03558	-5.81860	3649	NNO
LA CAPILLA	48	43	15.30	42.01702	-5.81194	1518	N
FILLOVAL	42	40	21.34	42.00870	-5.84957	3390	O
LAS PEÑAS	61	39	10.79	42.01076	-5.85993	4273	O
LA CASA	49	37	5.60	42.01829	-5.84733	3556	ONO
LA MONJA	54	34	6.44	42.03924	-5.81205	3978	N
CAÑIMOS	13	31	5.18	42.02563	-5.79821	2618	NNE
LOS QUIÑONES	75	30	7.32	42.00804	-5.83134	1901	ONO
H.PINTO	43	29	5.28	42.03607	-5.81529	3654	N
CAMINO MORALES	11	28	7.94	42.03214	-5.81842	3273	NNO
VALDEVACAS	113	26	10.59	42.02901	-5.81525	2878	N
EL CARBAJAL	24	25	15.50	42.03537	-5.79228	3805	NNE
VALDEMANOS	110	25	10.08	42.02988	-5.80383	2962	N
VALDECUBA	106	24	7.79	42.01828	-5.82166	1939	NNO
VALDEPERAL	112	24	5.17	42.03602	-5.80788	3615	N
F.VALDEPERAL	41	22	4.60	42.03676	-5.80363	3723	N
OÑATE	82	21	2.80	42.02825	-5.80913	2749	N
A.VALDEVACAS	1	20	3.74	42.03363	-5.81175	3354	N
LOS QUIÑONES DE LA HIERBA	76	19	7.41	42.01018	-5.82588	1568	ONO
EL PEDAZO	33	19	5.10	42.00323	-5.82690	1468	O
VAGADA DE ARRIBA	104	19	8.43	42.01855	-5.83556	2748	NO
VALMAYOR	115	19	16.91	42.02573	-5.80301	2519	NNE
CINCO CUARTOS	16	19	2.98	42.01227	-5.87044	5157	O
Cº. DE COLINAS DE TRASMONTE	19	18	12.10	42.01199	-5.81865	1226	NO
ALTO CHOPOS	2	18	2.47	42.03210	-5.80831	3177	N
LOS BURRIALES	68	17	9.45	42.02279	-5.82526	2522	NNO
CHAPUCEROS	15	16	6.93	42.00850	-5.83990	2601	ONO
TESO MAL NOMBRE	97	16	17.97	42.02651	-5.83033	3097	NO
V.LA CRUZ	102	16	3.38	42.02153	-5.80505	2029	N
TORTILLE	101	15	1.97	42.02921	-5.81799	2947	NNO
SARDONAL	95	13	8.56	42.02533	-5.82756	2862	NNO
CAIRA	8	13	2.00	42.02017	-5.81017	1852	N
NABALES	81	12	3.47	42.01245	-5.84347	3005	ONO
EL REDONDILLO	37	12	5.24	42.02428	-5.83467	3126	NO
MANGANESES	77	11	5.88	42.02365	-5.81457	2282	NNO
SITRAMIN	96	11	11.07	42.01190	-5.87699	5683	O
EL CERCAO	27	11	1.52	42.01762	-5.82029	1817	NNO
VAGADA DE ABAJO	103	10	2.44	42.01229	-5.82703	1771	ONO
EL PRADO	35	10	33.32	42.01947	-5.83924	3054	NO
PRADERAS DEL CARBAJAL	87	10	8.16	42.03727	-5.79877	3848	NNE
CERVILLA	14	10	1.03	42.02154	-5.81241	2021	N
LAS GALGAS	59	9	8.98	42.03173	-5.83057	3601	NNO
LA CABAÑA	47	9	6.88	42.02101	-5.81404	1985	NNO
CUCRILLOS	18	8	5.63	42.02818	-5.81281	2758	N
EL MORO	32	7	1.97	42.01469	-5.83113	2200	NO
EL CARRIL	25	7	0.91	42.00563	-5.84355	2853	O
LOS PLANTIOS	74	7	3.72	42.00471	-5.85618	3889	O
ENTRECAÑOS	40	6	3.20	42.00732	-5.83488	2169	O
EL CALVARIO	22	6	2.73	42.01477	-5.82212	1647	NO
LINARES DEL NESILLO	67	5	2.93	42.00537	-5.83189	1891	O
EL CANAL	23	5	1.46	42.00559	-5.83864	2448	O
HUERTAS	45	5	0.31	42.01750	-5.83166	2424	NO
LA SASTRA	58	4	3.39	42.02894	-5.82031	2972	NNO
VALDECUBA ALTA	107	4	2.57	42.01693	-5.82279	1869	NO
LA REGATA	56	3	2.18	42.02479	-5.82143	2573	NNO
ERROR		3	0.08	42.01518	-5.82471	1825	NO
NC	0	2	0.41	42.01818	-5.83269	2538	NO
CM DEL REDONDILLO	17	2	0.53	42.02687	-5.83717	3479	NO
A-52 AUTOVIA DE LAS RIAS BAJAS	122	2	33.38	42.02694	-5.81714	2686	NNO
L.FIORAL	46	2	0.13	42.01179	-5.84828	3362	ONO
ZA-P-1510	123	1	0.84	42.01018	-5.82237	1320	NO
N-525	121	1	7.98	42.00502	-5.83951	2515	O
CAMINO DE MANGANESES	10	1	0.18	42.02773	-5.80280	2742	N
VALDELAMBA	109	1	0.08	42.01638	-5.81824	1615	NNO
