paraje	cod	parcelas_muestreadas	sup_muestreada_ha	lat	lon	dist_m_al_casco_de_colinas
LOS ARROTOS	6	63	36.57	41.99026	-5.78525	2465
ARENALES	5	51	20.35	41.97585	-5.79519	3287
PRADO	143	50	34.71	41.98140	-5.79030	2912
VEGAS A	162	41	25.45	41.97327	-5.79459	3573
RASO	147	32	11.22	41.95494	-5.76497	6521
VILLAR	168	29	6.87	41.96091	-5.78933	5014
MANGAS	130	27	11.81	41.98971	-5.79107	2143
TOMILLAR	160	25	5.32	41.96577	-5.79379	4386
CASTILLO	86	23	4.93	41.97435	-5.78185	3951
C BOSQUE	18	21	2.34	41.99664	-5.78865	1859
VENANCIA	165	19	1.52	41.96556	-5.79077	4486
P SIMON	137	18	0.66	41.96829	-5.79223	4161
EL QUIÑON	146	18	9.70	41.95414	-5.79081	5697
BARCIAL	12	18	10.97	41.93953	-5.79257	7248
P REVILL	136	16	1.40	41.97810	-5.80408	2859
VEGAS B	163	16	7.16	41.98410	-5.80330	2214
REDONDAL	148	14	1.02	41.95404	-5.77968	6017
BARRIALE	13	13	28.62	42.00108	-5.78741	1816
CORRAL	91	12	9.93	41.95770	-5.79657	5201
CAMINO DE SERVICIO	50	12	5.51	41.99153	-5.79764	1638
LADERAS	128	12	12.99	41.96297	-5.77458	5338
BODEGAS	16	11	2.51	41.99661	-5.79669	1284
PRESA	144	10	0.88	41.96762	-5.79414	4181
BAJOS	9	10	4.99	41.98862	-5.79473	2041
MONTICO	132	10	8.83	41.96239	-5.76765	5717
FRIERA	120	10	7.58	41.93702	-5.80158	7422
SAN JUAN	152	9	11.02	41.97882	-5.78054	3624
BILLAR	15	9	8.43	41.96183	-5.78385	5086
C S COLO	21	9	8.25	41.95304	-5.77070	6451
SIERRO	153	9	10.13	41.94711	-5.77700	6813
HUERTA	125	9	2.42	41.94518	-5.79030	6673
CORDERAS	90	8	12.64	41.97254	-5.77356	4530
ALTURA	4	8	6.70	41.97914	-5.78135	3554
GATINAS	121	8	0.83	41.96443	-5.78882	4660
B ESPINO	8	7	10.47	41.97262	-5.79539	3620
ALTO	3	7	33.80	41.96930	-5.77446	4765
PALEROS	138	7	7.91	41.96845	-5.79025	4201
MAYUELO	131	7	6.65	41.95727	-5.77521	5858
COLORADA	89	7	8.43	41.94901	-5.77430	6711
FONDICO	119	7	12.24	41.94200	-5.80146	6871
PARTIJAS	140	6	3.80	41.97057	-5.78135	4325
C BARCA	17	6	7.28	41.96851	-5.78952	4218
HUERGA	124	6	2.94	41.98190	-5.80582	2421
CARRALES	80	5	8.21	41.98282	-5.78372	3117
C MOZAR	20	5	4.40	41.96772	-5.77757	4760
GATINERA	122	5	6.14	41.98612	-5.80014	2074
VEGUELLINA	164	5	3.08	41.98998	-5.80012	1681
ERMITA	118	5	4.18	41.94855	-5.79427	6236
VENTAS	166	5	0.87	42.00100	-5.78848	1730
LA VEGA	127	5	3.45	41.95705	-5.78275	5609
COLMENAS	88	5	6.73	41.94142	-5.80412	6919
DESAGUE	96	5	0.47	41.94791	-5.77860	6681
HUERTA CALIXTO	126	4	2.77	41.99028	-5.77935	2869
