entidad_local_menor	num_registro_estatal	fecha_inscripcion	municipio	codigo_ine_unidad_poblacional	en_el_valle_de_1768
Castropepe	4490001	1986-10-09	Villanueva de Azoague	49257000100	no
Fresnadillo de Sayago	4490002	1986-10-10	Bermillo de Sayago	49023000300	no
Litos	4490003	1986-10-14	Ferreras de Abajo	49066000200	no
Mozar	4490004	1986-10-10	Villanázar	49256000100	no
Paladinos del Valle	4490005	1986-10-10	Torre del Valle, La	49220000100	no
Santa Marta de Tera	4490006	1986-10-03	Camarzana de Tera	49033000400	sí
Tudera	4490007	1986-09-19	Fariza	49064000600	no
Vecilla de Trasmonte	4490008	1986-10-10	Villanázar	49256000200	sí
Villanueva de Azoague	4490009	1986-10-24	Villanueva de Azoague	49257000200	no
Villanueva de Valrojo	4490010	1987-01-07	Ferreras de Arriba	49067000200	no
Sitrama de Tera	4490011	1987-06-01	Santibáñez de Tera	49205000200	sí
Santa Colomba de las Carabias	4490012	1988-02-01	San Cristóbal de Entreviñas	49187000300	no
Vecilla de la Polvorosa	4490013	1990-08-09	Morales de Rey	49128000200	no
Aguilar de Tera	4490014	2003-07-25	Micereces de Tera	49117000200	sí
