lugar_1768	almas_1768	figura_juridica_2025	municipio_actual	num_registro_estatal	fecha_inscripcion
Aguilar de Tera	92	entidad local menor	Micereces de Tera	4490014	2003-07-25
Barcial del Barco	117	municipio	Barcial del Barco		
Bercianos de Vidriales	134	sin personalidad jurídica propia			
Colinas de Trasmonte	114	sin personalidad jurídica propia			
La Milla de Tera	165	sin personalidad jurídica propia			
Manganeses de la Polvorosa	302	municipio	Manganeses de la Polvorosa		
Melgar de Tera	100	municipio	Melgar de Tera		
Micereces de Tera	205	municipio	Micereces de Tera		
Milles de la Polvorosa	208	municipio	Milles de la Polvorosa		
Morales de Valverde	294	municipio	Morales de Valverde		
Moratones	59	sin personalidad jurídica propia			
Pozuelo de Vidriales	235	sin personalidad jurídica propia			
Pumarejo de Tera	129	sin personalidad jurídica propia			
Quiruelas de Vidriales	223	municipio	Quiruelas de Vidriales		
Rosinos de Vidriales	175	sin personalidad jurídica propia			
Santa Cristina de la Polvorosa	190	municipio	Santa Cristina de la Polvorosa		
Santa Croya de Tera	223	municipio	Santa Croya de Tera		
Santa Marta de Tera	95	entidad local menor	Camarzana de Tera	4490006	1986-10-03
Santibáñez de Vidriales	229	municipio	Santibáñez de Vidriales		
Sitrama de Tera	114	entidad local menor	Santibáñez de Tera	4490011	1987-06-01
Vecilla de Trasmonte	205	entidad local menor	Villanázar	4490008	1986-10-10
Vega de Tera	180	municipio	Vega de Tera		
Villaferrueña	184	municipio	Villaferrueña		
Villanázar	106	municipio	Villanázar		
